,EC,type,pmid,title,source,abstract
,No,Epigenetics,34691960,Evolutionary transition between invertebrates and vertebrates via methylation reprogramming in embryogenesis.,Natl Sci Rev,"Major evolutionary transitions are enigmas, and the most notable enigma is between invertebrates and vertebrates, with numerous spectacular innovations. To search for the molecular connections involved, we asked whether global epigenetic changes may offer a clue by surveying the inheritance and reprogramming of parental DNA methylation across metazoans. We focused on gametes and early embryos, where the methylomes are known to evolve divergently between fish and mammals. Here, we find that methylome reprogramming during embryogenesis occurs neither in pre-bilaterians such as cnidarians nor in protostomes such as insects, but clearly presents in deuterostomes such as echinoderms and invertebrate chordates, and then becomes more evident in vertebrates. Functional association analysis suggests that DNA methylation reprogramming is associated with development, reproduction and adaptive immunity for vertebrates, but not for invertebrates. Interestingly, the single HOX cluster of invertebrates maintains unmethylated status in all stages examined. In contrast, the multiple HOX clusters show dramatic dynamics of DNA methylation during vertebrate embryogenesis. Notably, the methylation dynamics of HOX clusters are associated with their spatiotemporal expression in mammals. Our study reveals that DNA methylation reprogramming has evolved dramatically during animal evolution, especially after the evolutionary transitions from invertebrates to vertebrates, and then to mammals.© The Author(s) 2019. Published by Oxford University Press on behalf of China Science Publishing & Media Ltd."
,Yes,EWAS,34696705,An investigation into DNA methylation patterns associated with risk preference in older individuals.,Epigenetics,"Risk preference is a complex trait governed by psycho-social, environmental and genetic determinants. We aimed to examine how an individual's risk preference associates with their epigenetic profile.Risk preferences were ascertained by asking participants of the Northern Ireland COhort for the Longitudinal study of Ageing to make a series of choices between two hypothetical income scenarios. From these, four risk preference categories were derived, ranging from risk-averse to risk-seeking. Illumina's Infinium High Density Methylation Assay was used to evaluate the status of 862,927 CpGs.Risk preference and DNA methylation data were obtained for 1,656 individuals. The distribution of single site DNA methylation levels between risk-averse and risk-seeking individuals was assessed whilst adjusting for covariates including age, sex and peripheral white cell counts. In this discovery cohort, 55 CpG sites were identified with significantly different levels of methylation (p≤x10-5) between risk-averse and risk-seeking individuals when adjusting for the maximum number of covariates. No CpGs were significantly differentially methylated in any of the risk preference groups at an epigenome-wide association level (p<9x10-8) following covariate adjustment.Protein-coding genesNWD1andLRP1were among the genes in which top-ranked dmCpGs were located for all analyses conducted. Mutations in these genes have previously been linked to neurological conditions.Epigenetic modifications have not previously been linked to risk-aversion using a population cohort but may represent important biomarkers of accumulated, complex determinants of this trait. Several striking results from this study support further analysis of DNA methylation as an important link between measurable biomarkers and health behaviours."
,Yes,EWAS,34689037,Residential greenness-related DNA methylation changes.,Environ Int,"Residential greenness has been associated with health benefits, but its biological mechanism is largely unknown. Investigation of greenness-related DNA methylation profiles can contribute to mechanistic understanding of the health benefits of residential greenness.To identify DNA methylation profiles associated with greenness in the immediate surroundings of the residence.We analyzed genome-wide DNA methylation in 1938 blood samples (982 participants) from the Swiss Cohort Study on Air Pollution and Lung and Heart Diseases in Adults (SAPALDIA). We estimated residential greenness based on normalized difference vegetation index at 30 × 30 m cell (green30) and 500 m buffer (green500) around the residential address. We conducted epigenome-wide association study (EWAS) to identify differentially methylated CpGs and regions, and enrichment tests by comparing to the CpGs that previous EWAS identified as associated with allergy, physical activity, and allostatic load-relevant biomarkers.We identified no genome-wide significant CpGs, but 163 and 56 differentially methylated regions for green30 and green500, respectively. Green30-related DNA methylation profiles showed enrichments in allergy, physical activity, and allostatic load, while green500-related methylation was enriched in allergy and allostatic load.Residential greenness may have health impacts through allergic sensitization, stress coping, or behavioral changes. Exposure to more proximal greenness may be more health-relevant.Copyright © 2021 The Authors. Published by Elsevier Ltd.. All rights reserved."
,Yes,EWAS,34670603,Impact of BMI and waist circumference on epigenome-wide DNA methylation and identification of epigenetic biomarkers in blood: an EWAS in multi-ethnic Asian individuals.,Clin Epigenetics,"The prevalence of obesity and its related chronic diseases have been increasing especially in Asian countries. Obesity-related genetic variants have been identified, but these explain little of the variation in BMI. Recent studies reported associations between DNA methylation and obesity, mostly in non-Asian populations.We performed an epigenome-wide association study (EWAS) on general adiposity (body mass index, BMI) and abdominal adiposity (waist circumference, WC) in 409 multi-ethnic Asian individuals and replicated BMI and waist-associated DNA methylation CpGs identified in other populations. The cross-lagged panel model and Mendelian randomization were used to assess the temporal relationship between methylation and BMI. The temporal relationship between the identified CpGs and inflammation and metabolic markers was also examined.EWAS identified 116 DNA methylation CpGs independently associated with BMI and eight independently associated with WC at false discovery rate PFDR < 0.05 in 409 Asian samples. We replicated 110 BMI-associated CpGs previously reported in Europeans and identified six novel BMI-associated CpGs and two novel WC-associated CpGs. We observed high consistency in association direction of effect compared to studies in other populations. Causal relationship analyses indicated that BMI was more likely to be the cause of DNA methylation alteration, rather than the consequence. The causal analyses using BMI-associated methylation risk score also suggested that higher levels of the inflammation marker IL-6 were likely the consequence of methylation change.Our study provides evidence of an association between obesity and DNA methylation in multi-ethnic Asians and suggests that obesity can drive methylation change. The results also suggested possible causal influence that obesity-related methylation changes might have on inflammation and lipoprotein levels.© 2021. The Author(s)."
,Yes,EWAS,34654479,Association of peripheral blood DNA methylation level with Alzheimer's disease progression.,Clin Epigenetics,"Identifying biomarkers associated with Alzheimer's disease (AD) progression may enable patient enrichment and improve clinical trial designs. Epigenome-wide association studies have revealed correlations between DNA methylation at cytosine-phosphate-guanine (CpG) sites and AD pathology and diagnosis. Here, we report relationships between peripheral blood DNA methylation profiles measured using Infinium® MethylationEPIC BeadChip and AD progression in participants from the Alzheimer's Disease Neuroimaging Initiative (ADNI) cohort.The rate of cognitive decline from initial DNA sampling visit to subsequent visits was estimated by the slopes of the modified Preclinical Alzheimer Cognitive Composite (mPACC; mPACCdigitand mPACCtrailsB) and Clinical Dementia Rating Scale Sum of Boxes (CDR-SB) plots using robust linear regression in cognitively normal (CN) participants and patients with mild cognitive impairment (MCI), respectively. In addition, diagnosis conversion status was assessed using a dichotomized endpoint. Two CpG sites were significantly associated with the slope of mPACC in CN participants (P < 5.79 × 10-8[Bonferroni correction threshold]); cg00386386 was associated with the slope of mPACCdigit, and cg09422696 annotated to RP11-661A12.5 was associated with the slope of CDR-SB. No significant CpG sites associated with diagnosis conversion status were identified. Genes involved in cognition and learning were enriched. A total of 19, 13, and 5 differentially methylated regions (DMRs) associated with the slopes of mPACCtrailsB, mPACCdigit, and CDR-SB, respectively, were identified by both comb-p and DMRcate algorithms; these included DMRs annotated to HOXA4. Furthermore, 5 and 19 DMRs were associated with conversion status in CN and MCI participants, respectively. The most significant DMR was annotated to the AD-associated gene PM20D1 (chr1: 205,818,956 to 205,820,014 [13 probes], Sidak-corrected P = 7.74 × 10-24), which was associated with both the slope of CDR-SB and the MCI conversion status.Candidate CpG sites and regions in peripheral blood were identified as associated with the rate of cognitive decline in participants in the ADNI cohort. While we did not identify a single CpG site with sufficient clinical utility to be used by itself due to the observed effect size, a biosignature composed of DNA methylation changes may have utility as a prognostic biomarker for AD progression.© 2021. The Author(s)."
,No,Prediction,34678958,Prenatal Particulate Matter Exposure Is Associated with Saliva DNA Methylation at Age 15: Applying Cumulative DNA Methylation Scores as an Exposure Biomarker.,Toxics,"Exposure in utero to particulate matter (PM2.5 and PM10) is associated with maladaptive health outcomes. Although exposure to prenatal PM2.5 and PM10 has cord blood DNA methylation signatures at birth, signature persistence into childhood and saliva cross-tissue applicability has not been tested. In the Fragile Families and Child Wellbeing Study, a United States 20-city birth cohort, average residential PM2.5 and PM10 during the three months prior to birth was estimated using air quality monitors with inverse distance weighting. Saliva DNA methylation at ages 9 (n= 749) and 15 (n= 793) was measured using the Illumina HumanMethylation 450 k BeadArray. Cumulative DNA methylation scores for particulate matter were estimated by weighting participant DNA methylation at each site by independent meta-analysis effect estimates and standardizing the sums. Using a mixed-effects regression analysis, we tested the associations between cumulative DNA methylation scores at ages 9 and 15 and PM exposure during pregnancy, adjusted for child sex, age, race/ethnicity, maternal income-to-needs ratio, nonmartial birth status, and saliva cell-type proportions. Our study sample was 50.5% male, 56.3% non-Hispanic Black, and 19.8% Hispanic, with a median income-to-needs ratio of 1.4. Mean exposure levels for PM2.5 were 27.9 μg/m3/day (standard deviation: 7.0; 23.7% of observations exceeded safety standards) and for PM10 were 15.0 μg/m3/day (standard deviation: 3.1). An interquartile range increase in PM2.5 exposure (10.73 μg/m3/day) was associated with a -0.0287 standard deviation lower cumulative DNA methylation score for PM2.5 (95% CI: -0.0732, 0.0158,p= 0.20) across all participants. An interquartile range increase in PM10 exposure (3.20 μg/m3/day) was associated with a -0.1472 standard deviation lower cumulative DNA methylation score for PM10 (95% CI: -0.3038, 0.0095,p= 0.06) across all participants. The PM10 findings were driven by the age 15 subset where an interquartile range increase in PM10 exposure was associated with a -0.024 standard deviation lower cumulative DNA methylation score for PM10 (95% CI: -0.043, -0.005,p= 0.012). Findings were robust to adjustment for PM exposure at ages 1 and 3. In utero PM10-associated DNA methylation differences were identified at age 15 in saliva. Benchmarking the timing and cell-type generalizability is critical for epigenetic exposure biomarker assessment."
,Yes,EWAS,34596434,Association of grandmaternal smoking during pregnancy with DNA methylation of grandchildren: the Isle of Wight study.,Epigenomics,"Background:To investigate the intergenerational effects of grandmaternal smoking during pregnancy (GMSDP) on the DNA methylation of grandchildren.Methods:Data from the Isle of Wight birth cohort with information regarding GMSDP and DNA methylation profiling at the birth of grandchildren (n = 161) were used. Differentially methylated CpG sites related to GMSDP were identified using testing-training screening, analysis of variance and multivariate analysis of covariance. The association between identified CpG sites and expression levels of neighboring genes was tested by linear regression.Results:Twenty-three CpG sites were differentially methylated in grandchildren because of GMSDP, and eight of these were associated with expression levels of 13 neighboring genes.Conclusion:GMSDP has an intergenerational effect on the DNA methylation profile of grandchildren independent of maternal smoking during pregnancy."
x,No,Methods,34709110,Comparison of EM-seq and PBAT methylome library methods for low-input DNA.,Epigenetics,"DNA methylation is the most studied epigenetic mark involved in regulation of gene expression. For low input samples, a limited number of methods for quantifying DNA methylation genome-wide has been evaluated. Here, we compared a series of input DNA amounts (1-10ng) from two methylome library preparation protocols, enzymatic methyl-seq (EM-seq) and post-bisulfite adaptor tagging (PBAT) adapted from single-cell PBAT. EM-seq takes advantage of enzymatic activity while PBAT relies on conventional bisulfite conversion for detection of DNA methylation. We found that both methods accurately quantified DNA methylation genome-wide. They produced expected distribution patterns around genomic features, high C-T transition efficiency at non-CpG sites and high correlation between input amounts. However, EM-seq performed better in regard to library and sequencing quality, i.e. EM-seq produced larger insert sizes, higher alignment rates and higher library complexity with lower duplication rate compared to PBAT. Moreover, EM-seq demonstrated higher CpG coverage, better CpG site overlap and higher consistency between input series. In summary, our data suggests that EM-seq overall performed better than PBAT in whole genome methylation quantification of low input samples."
x,No,Methods,34663425,DNA methylation-calling tools for Oxford Nanopore sequencing: a survey and human epigenome-wide evaluation.,Genome Biol,"Nanopore long-read sequencing technology greatly expands the capacity of long-range, single-molecule DNA-modification detection. A growing number of analytical tools have been developed to detect DNA methylation from nanopore sequencing reads. Here, we assess the performance of different methylation-calling tools to provide a systematic evaluation to guide researchers performing human epigenome-wide studies.We compare seven analytic tools for detecting DNA methylation from nanopore long-read sequencing data generated from human natural DNA at a whole-genome scale. We evaluate the per-read and per-site performance of CpG methylation prediction across different genomic contexts, CpG site coverage, and computational resources consumed by each tool. The seven tools exhibit different performances across the evaluation criteria. We show that the methylation prediction at regions with discordant DNA methylation patterns, intergenic regions, low CG density regions, and repetitive regions show room for improvement across all tools. Furthermore, we demonstrate that 5hmC levels at least partly contribute to the discrepancy between bisulfite and nanopore sequencing. Lastly, we provide an online DNA methylation database ( https://nanome.jax.org ) to display the DNA methylation levels detected by nanopore sequencing and bisulfite sequencing data across different genomic contexts.Our study is the first systematic benchmark of computational methods for detection of mammalian whole-genome DNA modifications in nanopore sequencing. We provide a broad foundation for cross-platform standardization and an evaluation of analytical tools designed for genome-scale modified base detection using nanopore sequencing.© 2021. The Author(s)."
x,No,Methods,34651232,A robust mean and variance test with application to high-dimensional phenotypes.,Eur J Epidemiol,"Most studies of continuous health-related outcomes examine differences in mean levels (location) of the outcome by exposure. However, identifying effects on the variability (scale) of an outcome, and combining tests of mean and variability (location-and-scale), could provide additional insights into biological mechanisms. A joint test could improve power for studies of high-dimensional phenotypes, such as epigenome-wide association studies of DNA methylation at CpG sites. One possible cause of heterogeneity of variance is a variable interacting with exposure in its effect on outcome, so a joint test of mean and variability could help in the identification of effect modifiers. Here, we review a scale test, based on the Brown-Forsythe test, for analysing variability of a continuous outcome with respect to both categorical and continuous exposures, and develop a novel joint location-and-scale score (JLSsc) test. These tests were compared to alternatives in simulations and used to test associations of mean and variability of DNA methylation with gender and gestational age using data from the Accessible Resource for Integrated Epigenomics Studies (ARIES). In simulations, the Brown-Forsythe and JLSsc tests retained correct type I error rates when the outcome was not normally distributed in contrast to the other approaches tested which all had inflated type I error rates. These tests also identified > 7500 CpG sites for which either mean or variability in cord blood methylation differed according to gender or gestational age. The Brown-Forsythe test and JLSsc are robust tests that can be used to detect associations not solely driven by a mean effect.© 2021. The Author(s)."
