EWAS catalog,Date,Category,Paper ID,Title,Journal ,Summary
No,20220228,cell types,35142607,Human embryoid bodies as a novel system for genomic studies of functionally diverse cell types.,Elife,"Practically all studies of gene expression in humans to date have been performed in a relatively small number of adult tissues. Gene regulation is highly dynamic and context-dependent. In order to better understand the connection between gene regulation and complex phenotypes, including disease, we need to be able to study gene expression in more cell types, tissues, and states that are relevant to human phenotypes. In particular, we need to characterize gene expression in early development cell types, as mutations that affect developmental processes may be of particular relevance to complex traits. To address this challenge, we propose to use embryoid bodies (EBs), which are organoids that contain a multitude of cell types in dynamic states. EBs provide a system in which one can study dynamic regulatory processes at an unprecedentedly high resolution. To explore the utility of EBs, we systematically explored cellular and gene expression heterogeneity in EBs from multiple individuals. We characterized the various cell types that arise from EBs, the extent to which they recapitulate gene expression in vivo, and the relative contribution of technical and biological factors to variability in gene expression, cell composition, and differentiation efficiency. Our results highlight the utility of EBs as a new model system for mapping dynamic inter-individual regulatory differences in a large variety of cell types.© 2022, Rhodes et al."
No,20220228,dnam age,35189945,Susceptibility to hormone-mediated cancer is reflected by different tick rates of the epithelial and general epigenetic clock.,Genome Biol,"A variety of epigenetic clocks utilizing DNA methylation changes have been developed; these clocks are either tissue-independent or designed to predict chronological age based on blood or saliva samples. Whether discordant tick rates between tissue-specific and general epigenetic clocks play a role in health and disease has not yet been explored.Here we analyze 1941 cervical cytology samples, which contain a mixture of hormone-sensitive cervical epithelial cells and immune cells, and develop the WID general clock (Women's IDentification of risk), an epigenetic clock that is shared by epithelial and immune cells and optimized for cervical samples. We then develop the WID epithelial clock and WID immune clock, which define epithelial- and immune-specific clocks, respectively. We find that the WID-relative-epithelial-age (WID-REA), defined as the difference between the epithelial and general clocks, is significantly reduced in cervical samples from pre-menopausal women with breast cancer (OR 2.7, 95% CI 1.28-5.72). We find the same effect in normal breast tissue samples from pre-menopausal women at high risk of breast cancer and show that potential risk reducing anti-progesterone drugs can reverse this. In post-menopausal women, this directionality is reversed. Hormone replacement therapy consistently leads to a significantly lower WID-REA in cancer-free women, but not in post-menopausal women with breast or ovarian cancer.Our findings imply that there are multiple epigenetic clocks, many of which are tissue-specific, and that the differential tick rate between these clocks may be an informative surrogate measure of disease risk.© 2022. The Author(s)."
No,20220228,dnam age,35181865,Integrating DNA Methylation Measures of Biological Aging into Social Determinants of Health Research.,Curr Environ Health Rep,"Acceleration of biological processes of aging is hypothesized to drive excess morbidity and mortality in socially disadvantaged populations. DNA methylation measures of biological aging provide tools for testing this hypothesis.Next-generation DNA methylation measures of biological aging developed to predict mortality risk and physiological decline are more predictive of morbidity and mortality than the original epigenetic clocks developed to predict chronological age. These new measures show consistent evidence of more advanced and faster biological aging in people exposed to socioeconomic disadvantage and may be able to record the emergence of socially determined health inequalities as early as childhood. Next-generation DNA methylation measures of biological aging also indicate race/ethnic disparities in biological aging. More research is needed on these measures in samples of non-Western and non-White populations. New DNA methylation measures of biological aging open opportunities for refining inference about the causes of social disparities in health and devising policies to eliminate them. Further refining measures of biological aging by including more diversity in samples used for measurement development is a critical priority for the field.© 2022. The Author(s), under exclusive licence to Springer Nature Switzerland AG."
No,20220228,early detection,35164838,Novel epigenetic network biomarkers for early detection of esophageal cancer.,Clin Epigenetics,"Early detection of esophageal cancer is critical to improve survival. Whilst studies have identified biomarkers, their interpretation and validity is often confounded by cell-type heterogeneity.Here we applied systems-epigenomic and cell-type deconvolution algorithms to a discovery set encompassing RNA-Seq and DNA methylation data from esophageal adenocarcinoma (EAC) patients and matched normal-adjacent tissue, in order to identify robust biomarkers, free from the confounding effect posed by cell-type heterogeneity. We identify 12 gene-modules that are epigenetically deregulated in EAC, and are able to validate all 12 modules in 4 independent EAC cohorts. We demonstrate that the epigenetic deregulation is present in the epithelial compartment of EAC-tissue. Using single-cell RNA-Seq data we show that one of these modules, a proto-cadherin module centered around CTNND2, is inactivated in Barrett's Esophagus, a precursor lesion to EAC. By measuring DNA methylation in saliva from EAC cases and controls, we identify a chemokine module centered around CCL20, whose methylation patterns in saliva correlate with EAC status.Given our observations that a CCL20 chemokine network is overactivated in EAC tissue and saliva from EAC patients, and that in independent studies CCL20 has been found to be overactivated in EAC tissue infected with the bacterium F. nucleatum, a bacterium that normally inhabits the oral cavity, our results highlight the possibility of using DNAm measurements in saliva as a proxy for changes occurring in the esophageal epithelium. Both the CTNND2/CCL20 modules represent novel promising network biomarkers for EAC that merit further investigation.© 2022. The Author(s)."
No,20220228,epigenetics,35143483,Slow nucleosome dynamics set the transcriptional speed limit and induce RNA polymerase II traffic jams and bursts.,PLoS Comput Biol,"Nucleosomes are recognized as key regulators of transcription. However, the relationship between slow nucleosome unwrapping dynamics and bulk transcriptional properties has not been thoroughly explored. Here, an agent-based model that we call the dynamic defect Totally Asymmetric Simple Exclusion Process (ddTASEP) was constructed to investigate the effects of nucleosome-induced pausing on transcriptional dynamics. Pausing due to slow nucleosome dynamics induced RNAPII convoy formation, which would cooperatively prevent nucleosome rebinding leading to bursts of transcription. The mean first passage time (MFPT) and the variance of first passage time (VFPT) were analytically expressed in terms of the nucleosome rate constants, allowing for the direct quantification of the effects of nucleosome-induced pausing on pioneering polymerase dynamics. The mean first passage elongation rate γ(hc, ho) is inversely proportional to the MFPT and can be considered to be a new axis of the ddTASEP phase diagram, orthogonal to the classical αβ-plane (where α and β are the initiation and termination rates). Subsequently, we showed that, for β = 1, there is a novel jamming transition in the αγ-plane that separates the ddTASEP dynamics into initiation-limited and nucleosome pausing-limited regions. We propose analytical estimates for the RNAPII density ρ, average elongation rate v, and transcription flux J and verified them numerically. We demonstrate that the intra-burst RNAPII waiting times tin follow the time-headway distribution of a max flux TASEP and that the average inter-burst interval [Formula: see text] correlates with the index of dispersion De. In the limit γ→0, the average burst size reaches a maximum set by the closing rate hc. When α≪1, the burst sizes are geometrically distributed, allowing large bursts even while the average burst size [Formula: see text] is small. Last, preliminary results on the relative effects of static and dynamic defects are presented to show that dynamic defects can induce equal or greater pausing than static bottle necks."
Yes,20220228,ewas,35213289,Pharmacoepigenetics of hypertension: genome-wide methylation analysis of responsiveness to four classes of antihypertensive drugs using a double-blind crossover study design.,Epigenetics,"Essential hypertension remains the leading risk factor of global disease burden, but its treatment goals are often not met. We investigated whether DNA methylation is associated with antihypertensive responses to a diuretic, a beta-blocker, a calcium channel blocker or an angiotensin receptor antagonist. In addition, since we previously showed an SNP at the transcription start site (TSS) of the catecholamine biosynthesis-relatedACY3gene to associate with blood pressure (BP) response to beta-blockers, we specifically analysed the association of methylation sites close to theACY3TSS with BP responses to beta-blockers. We conducted an epigenome-wide association study between leukocyte DNA methylation and BP responses to antihypertensive monotherapies in two hypertensive Finnish cohorts: the GENRES (https://clinicaltrials.gov/ct2/show/NCT03276598; amlodipine 5 mg, bisoprolol 5 mg, hydrochlorothiazide 25 mg, or losartan 50 mg daily) and the LIFE-Fin studies (https://clinicaltrials.gov/ct2/show/NCT00338260; atenolol 50 mg or losartan 50 mg daily). The monotherapy groups consisted of approximately 200 individuals each. We identified 64 methylation sites to suggestively associate (P < 1E-5) with either systolic or diastolic BP responses to a particular study drug in GENRES. These associations did not replicate in LIFE-Fin . Three methylation sites close to theACY3TSS were associated with systolic BP responses to bisoprolol in GENRES but not genome-wide significantly (P < 0.05). No robust associations between DNA methylation and BP responses to four different antihypertensive drugs were identified. However, the findings on the methylation sites close to theACY3TSS may support the role ofACY3genetic and epigenetic variation in BP response to bisoprolol."
Yes,20220228,ewas,35207690,"DNA Methylation and Asthma Acquisition during Adolescence and Post-Adolescence, an Epigenome-Wide Longitudinal Study.",J Pers Med,"The role of epigenetics in the pathogenesis of asthma acquisition in adolescence and post-adolescence has been unknown. We carried out a longitudinal epigenome-wide association study, using data from the Isle of Wight Birth Cohort (IOWBC). To improve statistical power, we first screened CpGs based on associations of DNA methylation (DNAm) at an age of 10 years (pre-adolescence) with asthma acquisition at 10-18 years (during adolescence). A logistic regression with repeated measures was applied to CpGs that passed screening to examine the associations of pre-adolescence DNAm with asthma acquisition from 10-18 years and 18-26 years, with an interaction term to evaluate transition period specificity. Findings were further tested in an independent birth cohort, ALSPAC. In total, 205 CpGs (with 150 being females) showed associations with asthma acquisition (main or interaction effects) at FDR = 0.05 in IOWBC, of which 112 (90 being females) showed consistent associations in the ALSPAC. Genes that the identified CpGs were mapped to, e.g.,AKAP1andENO1, have been shown to be associated with the risk of asthma. Our findings indicated that DNAm at specific CpGs was associated with asthma acquisition. CpGs showing such associations were likely to be different between males and females and, at certain CpGs, were unique to a specific transition period."
Yes,20220228,ewas,35205218,Variation in Genotype and DNA Methylation Patterns Based on Alcohol Use and CVD in the Korean Genome and Epidemiology Study (KoGES).,Genes (Basel),"Alcohol consumption can increase the risk of chronic diseases, such as myocardial infarction, coronary artery disease, hyperlipidemia, and hypertension. We aimed to assess the association between genotype, DNA methylation patterns, alcohol consumption, and chronic diseases in Korean population. We analyzed 8840 subjects for genotypes and 446 for DNA methylation among the 9351 subjects from the Korean Genome and Epidemiology Study (KoGES). We further divided both groups into two sub-groups according to the presence/absence of chronic diseases. We selected genes whose methylation varied significantly with alcohol consumption, and visualized genotype and DNA methylation patterns specific to each group. Genome-wide association study (GWAS) revealed single nucleotide polymorphisms (SNPs)rs2074356andrs11066280in HECT domain E3 ubiquitin protein ligase 4 (HECTD4) to be significantly associated with alcohol consumption in both the presence. Thers12229654genotype also displayed significantly different patterns with alcohol consumption. Furthermore, we retrieved differentially methylated regions (DMRs) from four groups based on sex and chronic diseases and compared them by drinking status. In genotype analysis, cardiovascular diseases (CVDs) showed a higher proportion in drinker than in non-drinker, but not in DMR analysis. Additionally, we analyzed the enriched Gene Ontology terms and Kyoto Gene and Genome Encyclopedia (KEGG) pathways and visualized the network, heatmap, and upset plot. We show that the pattern of DNA methylation associated with CVD is strongly influenced by alcoholism. Overall, this study identified genetic and epigenetic variants influenced by alcohol consumption and chronic diseases."
Yes,20220228,ewas,35196023,"Genome-wide study of DNA methylation shows alterations in metabolic, inflammatory, and cholesterol pathways in ALS.",Sci Transl Med,"Amyotrophic lateral sclerosis (ALS) is a fatal neurodegenerative disease with an estimated heritability between 40 and 50%. DNA methylation patterns can serve as proxies of (past) exposures and disease progression, as well as providing a potential mechanism that mediates genetic or environmental risk. Here, we present a blood-based epigenome-wide association study meta-analysis in 9706 samples passing stringent quality control (6763 patients, 2943 controls). We identified a total of 45 differentially methylated positions (DMPs) annotated to 42 genes, which are enriched for pathways and traits related to metabolism, cholesterol biosynthesis, and immunity. We then tested 39 DNA methylation-based proxies of putative ALS risk factors and found that high-density lipoprotein cholesterol, body mass index, white blood cell proportions, and alcohol intake were independently associated with ALS. Integration of these results with our latest genome-wide association study showed that cholesterol biosynthesis was potentially causally related to ALS. Last, DNA methylation at several DMPs and blood cell proportion estimates derived from DNA methylation data were associated with survival rate in patients, suggesting that they might represent indicators of underlying disease processes potentially amenable to therapeutic interventions."
Yes,20220228,ewas,35177594,Epigenome-wide association study of posttraumatic stress disorder identifies novel loci in U.S. military veterans.,Transl Psychiatry,"Posttraumatic stress disorder (PTSD) is a chronic and disabling psychiatric disorder prevalent in military veterans. Epigenetic mechanisms have been implicated in the etiology of PTSD, with DNA methylation being the most studied to identify novel molecular biomarkers associated with this disorder. We performed one of the largest single-sample epigenome-wide association studies (EWAS) of PTSD to date. Our sample included 1135 male European-American U.S. veterans who participated in the National Health and Resilience in Veterans Study (NHRVS). DNA was collected from saliva samples and the Illumina HumanMethylation EPIC BeadChip was used for the methylation analysis. PTSD was assessed using the PTSD Checklist. An EWAS was conducted using linear regression adjusted for age, cell-type proportions, first 10 principal components, and smoking status. After Bonferroni correction, we identified six genome-wide significant (GWS) CpG sites associated with past-month PTSD and three CpGs with lifetime PTSD (prange = 10-10-10-8). These CpG sites map to genes involved in immune function, transcription regulation, axonal guidance, cell signaling, and protein binding. Among these, SENP7, which is involved in transcription regulation and has been linked to risk-taking behavior and alcohol consumption in genome-wide association studies, replicated in an independent veteran cohort and was downregulated in medial orbitofrontal cortex of PTSD postmortem brain tissue. These findings suggest potential epigenetic biomarkers of PTSD that may help inform the pathophysiology of this disorder in veterans and other trauma-affected populations.© 2022. This is a U.S. government work and not under copyright protection in the U.S.; foreign copyright protection may apply."
