"pmid","title","source","abstract"
"35387486","Genetic Landscape of the ACE2 Coronavirus Receptor.","Circulation","Background:Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), the etiologic agent of COVID-19, enters human cells using the angiotensin-converting enzyme 2 (ACE2) protein as a receptor. ACE2 is thus key to the infection and treatment of the coronavirus. ACE2 is highly expressed in the heart, respiratory and gastrointestinal tracts, playing important regulatory roles in the cardiovascular and other biologic systems. However, the genetic basis of the ACE2 protein levels is not well understood.Methods:We conduct so far the largest genome-wide association meta-analysis of plasma ACE2 levels in over 28,000 individuals of the SCALLOP Consortium. We summarize the cross-sectional epidemiologic correlates of circulating ACE2. Using the summary-statistics-based high-definition likelihood method, we estimate relevant genetic correlations with cardiometabolic phenotypes, COVID-19, and other human complex traits and diseases. We perform causal inference of soluble ACE2 on vascular disease outcomes and COVID-19 disease severity using Mendelian randomization. We also perform in silico functional analysis by integrating with other types of omics data.Results:We identified ten loci, including eight novel, capturing 30% of the protein's heritability. We detected that plasma ACE2 was genetically correlated with vascular diseases, severe COVID-19, and a wide range of human complex diseases and medications. An X-chromosome cis-pQTL-based Mendelian randomization analysis suggested a causal effect of elevated ACE2 levels on COVID-19 severity (odds ratio (OR), 1.63; 95% CI, 1.10 to 2.42;P= 0.01), hospitalization (OR, 1.52; 95% CI, 1.05 to 2.21;P= 0.03), and infection (OR, 1.60; 95% CI, 1.08 to 2.37;P= 0.02). Tissue- and cell-type-specific transcriptomic and epigenomic analysis revealed that the ACE2 regulatory variants were enriched for DNA methylation sites in blood immune cells.Conclusions:Human plasma ACE2 shares a genetic basis with cardiovascular disease, COVID-19, and other related diseases. The genetic architecture of the ACE2 protein is mapped, providing a useful resource for further biological and clinical studies on this coronavirus receptor."
"35386944","Genome-wide DNA methylation pattern in systemic sclerosis microvascular endothelial cells: Identification of epigenetically affected key genes and pathways.","J Scleroderma Relat Disord","The etiology of systemic sclerosis is not clear, but there is evidence suggesting a critical role for epigenetic alterations in disease pathogenesis and clinical expression. We sought, in this study, to characterize the genome-wide DNA methylation signature in systemic sclerosis microvascular endothelial cells.We performed a genome-wide DNA methylation study in microvascular endothelial cells derived from seven diffuse cutaneous systemic sclerosis patients compared to seven age-, sex-, and ethnicity-matched healthy controls. We paired matched samples on Illumina HumanMethylation450 (three diffuse cutaneous systemic sclerosis microvascular endothelial cells and three controls), and reproduced the results in an independent set of matched patient and controls using Illumina Infinium MethylationEPIC (four diffuse cutaneous systemic sclerosis patients and four controls) to identify differentially methylated genes.We identified 71,353 differentially methylated CpG sites in systemic sclerosis microvascular endothelial cells using Infinium MethylationEPIC microarray in the first group (0.081% of representative probes) and 33,170 CpG sites in the second group using HumanMethylation450 microarray (0.073% of representative probes) in diffuse cutaneous systemic sclerosis microvascular endothelial cells. Among the two groups of subjects, we identified differential methylation of 2455 CpG sites, representing 1301 genes. Most of the differentially methylated CpG sites were hypermethylated (1625 CpG), corresponding to 910 genes. Common hypermethylated genes in systemic sclerosis microvascular endothelial cells includeNOS1, DNMT3A, DNMT3B, HDAC4, andANGPT2.We also identified hypomethylation ofIL17RA, CTNNA3, ICAM2, andSDK1in systemic sclerosis microvascular endothelial cells. Furthermore, we demonstrate significant inverse correlation between DNA methylation status and gene expression in the majority of genes evaluated. Gene ontology analysis of hypermethylated genes demonstrated enrichment of genes involved in angiogenesis (p= 0.0006). Pathway analysis of hypomethylated genes includes genes involved in vascular smooth muscle contraction (p= 0.014) and adherens junctions (p= 0.013).Our data suggest the presence of significant genome-wide DNA methylation aberrancies in systemic sclerosis microvascular endothelial cells, and identify novel affected genes and pathways in systemic sclerosis microvascular endothelial cells.© The Author(s) 2021."
"35386832","Pollution induces epigenetic effects that are stably transmitted across multiple generations.","Evol Lett","It has been hypothesized that the effects of pollutants on phenotypes can be passed to subsequent generations through epigenetic inheritance, affecting populations long after the removal of a pollutant. But there is still little evidence that pollutants can induce persistent epigenetic effects in animals. Here, we show that low doses of commonly used pollutants induce genome-wide differences in cytosine methylation in the freshwater crustaceanDaphnia pulex. Uniclonal populations were either continually exposed to pollutants or switched to clean water, and methylation was compared to control populations that did not experience pollutant exposure. Although some direct changes to methylation were only present in the continually exposed populations, others were present in both the continually exposed and switched to clean water treatments, suggesting that these modifications had persisted for 7 months (>15 generations). We also identified modifications that were only present in the populations that had switched to clean water, indicating a long-term legacy of pollutant exposure distinct from the persistent effects. Pollutant-induced differential methylation tended to occur at sites that were highly methylated in controls. Modifications that were observed in both continually and switched treatments were highly methylated in controls and showed reduced methylation in the treatments. On the other hand, modifications found just in the switched treatment tended to have lower levels of methylation in the controls and showed increase methylation in the switched treatment. In a second experiment, we confirmed that sublethal doses of the same pollutants generate effects on life histories for at least three generations following the removal of the pollutant. Our results demonstrate that even low doses of pollutants can induce transgenerational epigenetic effects that are stably transmitted over many generations. Persistent effects are likely to influence phenotypic development, which could contribute to the rapid adaptation, or extinction, of populations confronted by anthropogenic stressors.© 2022 The Authors. Evolution Letters published by Wiley Periodicals LLC on behalf of Society for the Study of Evolution (SSE) and European Society for Evolutionary Biology (ESEB)."
"35385786","Occupational lead exposure on genome-wide DNA methylation and DNA damage.","Environ Pollut","Lead (Pb) exposure can induce DNA damage and alter DNA methylation but their inter-relationships have not been adequately determined. Our overall aims were to explore such relationships and to evaluate underlying epigenetic mechanisms of Pb-induced genotoxicity in Chinese workers. Blood Pb levels (BLLs) were determined and used as individual's Pb-exposure dose and the Comet assay (i.e., % tail DNA) was conducted to evaluate DNA damage. In the screening assay, 850 K BeadChip sequencing was performed on peripheral blood from 10 controls (BLLs ≤100 μg/L) and 20 exposed workers (i.e., 10 DNA-damaged and 10 DNA-undamaged workers). Using the technique, differentially methylated positions (DMPs) between the controls and the exposed workers were identified. In addition, DMPs were identified between the DNA-undamaged and DNA-damaged workers (% tail DNA >2.14%). In our validation assay, methylation levels of four candidate genes were measured by pyrosequencing in an independent sample set (n = 305), including RRAGC (Ras related GTP binding C), USP1 (Ubiquitin specific protease 1), COPS7B (COP9 signalosome subunit 7 B) and CHEK1 (Checkpoint kinase 1). The result of comparisons between the controls and the Pb-exposed workers show that DMPs were significantly enriched in genes related to nerve conduction and cell cycle. Between DNA-damaged group and DNA-undamaged group, differentially methylated genes were enriched in the pathways related cell cycle and DNA integrity checkpoints. Additionally, methylation levels of RRAGC and USP1 were negatively associated with BLLs (P < 0.05), and the former mediated 19.40% of the effect of Pb on the % tail DNA. These findings collectively indicate that Pb-induced DNA damage was closely related to methylation of genes in cell cycle regulation, and methylation levels of RRAGC were involved in Pb-induced genotoxicity.Copyright © 2022. Published by Elsevier Ltd."
"35384273","Genome-wide DNA methylation profiling confirms a case of low-level mosaic Kabuki syndrome 1.","Am J Med Genet A","Kabuki syndrome is a Mendelian disorder of the epigenetic machinery characterized by typical dysmorphic features, intellectual disability, and postnatal growth deficiency. Pathogenic variants in the genes encoding the chromatin modifiers KMT2D and KDM6A are responsible for Kabuki syndrome 1 (KS1) and Kabuki syndrome 2 (KS2), respectively. In addition, 11 cases of KS1 caused by mosaic variants in KMT2D have been reported in the literature. Some of these individuals display milder craniofacial and growth phenotypes, and most do not have congenital heart defects. We report the case of an infant with severe hypoplastic left heart syndrome with mitral atresia and aortic atresia (HLHS MA-AA), pulmonary vein stenosis, and atypical facies with a somatic mosaic de novo nonsense variant in KMT2D (c.8200C>T, p.R2734*) identified on trio exome sequencing of peripheral blood and present in 11.2% of sequencing reads. KS was confirmed with EpiSign, a diagnostic genome-wide DNA methylation platform used to identify epigenetic signatures. This case suggests that use of this newly available clinical test can guide the interpretation of low-level mosaic variants identified through sequencing and suggests a new lower limit of mosaicism in whole blood required for a diagnosis of KS.© 2022 The Authors. American Journal of Medical Genetics Part A published by Wiley Periodicals LLC."
"35383530","Autophagopathies: from autophagy gene polymorphisms to precision medicine for human diseases.","Autophagy","At a time when complex diseases affect globally 280 million people and claim 14 million lives every year, there is an urgent need to rapidly increase our knowledge into their underlying etiologies. Though critical in identifying the people at risk, the causal environmental factors (microbiome and/or pollutants) and the affected pathophysiological mechanisms are not well understood. Herein, we consider the variations of autophagy-related (ATG) genes at the heart of mechanisms of increased susceptibility to environmental stress. A comprehensive autophagy genomic resource is presented with 263 single nucleotide polymorphisms (SNPs) for 69 autophagy-related genes associated with 117 autoimmune, inflammatory, infectious, cardiovascular, neurological, respiratory, and endocrine diseases. We thus propose the term 'autophagopathies' to group together a class of complex human diseases the etiology of which lies in a genetic defect of the autophagy machinery, whether directly related or not to an abnormal flux in autophagy, LC3-associated phagocytosis, or any associated trafficking. The future of precision medicine for common diseases will lie in our ability to exploit theseATGSNP x environment relationships to develop new polygenetic risk scores, new management guidelines, and optimal therapies for afflicted patients.Abbreviations:ATG, autophagy-related; ALS-FTD, amyotrophic lateral sclerosis-frontotemporal dementia; ccRCC, clear cell renal cell carcinoma; CD, Crohn disease; COPD, chronic obstructive pulmonary disease; eQTL, expression quantitative trait loci; HCC, hepatocellular carcinoma; HNSCC, head and neck squamous cell carcinoma; GTEx, genotype-tissue expression; GWAS, genome-wide association studies; LAP, LC3-associated phagocytosis; LC3-II, phosphatidylethanolamine conjugated form of LC3; LD, linkage disequilibrium; LUAD, lung adenocarcinoma; MAF, minor allele frequency; MAP1LC3/LC3: microtubule associated protein 1 light chain 3; NSCLC, non-small cell lung cancer; OS, overall survival; PtdIns3K CIII, class III phosphatidylinositol 3 kinase; PtdIns3P, phosphatidylinositol-3-phosphate; SLE, systemic lupus erythematosus; SNPs, single-nucleotide polymorphisms; mQTL, methylation quantitative trait loci; ULK, unc-51 like autophagy activating kinase; UTRs, untranslated regions; WHO, World Health Organization."
"35382559","Distinct cytosine modification profiles define epithelial-to-mesenchymal cell-state transitions.","Epigenomics","Background:Epithelial-to-mesenchymal transition (EMT) is an early step in the invasion-metastasis cascade, involving progression through intermediate cell states. Due to challenges with isolating intermediate cell states, genome-wide cytosine modifications that define transition are not completely understood.Methods:The authors measured multiple DNA cytosine modification marks and chromatin accessibility across clonal populations residing in specific EMT states.Results:Clones exhibiting more intermediate EMT phenotypes demonstrated increased 5-hydroxymethylcytosine and decreased 5-methylcytosine. Open chromatin regions containing increased 5-hydroxymethylcytosine CpG loci were enriched in EMT transcription factor motifs and were associated with Rho GTPases.Conclusion:The results indicate the importance of both distinct and shared epigenetic profiles associated with EMT processes that may be targeted to prevent EMT progression."
"35382117","An optimized ChIP-Seq framework for profiling histone modifications in <i>Chromochloris zofingiensis</i>.","Plant Direct","The eukaryotic green algaChromochloris zofingiensisis a reference organism for studying carbon partitioning and a promising candidate for the production of biofuel precursors. Recent transcriptome profiling transformed our understanding of its biology and generally algal biology, but epigenetic regulation remains understudied and represents a fundamental gap in our understanding of algal gene expression. Chromatin immunoprecipitation followed by deep sequencing (ChIP-Seq) is a powerful tool for the discovery of such mechanisms, by identifying genome-wide histone modification patterns and transcription factor-binding sites alike. Here, we established a ChIP-Seq framework forChr. zofingiensisyielding over 20 million high-quality reads per sample. The most critical steps in a ChIP experiment were optimized, including DNA shearing to obtain an average DNA fragment size of 250 bp and assessment of the recommended formaldehyde concentration for optimal DNA-protein cross-linking. We used this ChIP-Seq framework to generate a genome-wide map of the H3K4me3 distribution pattern and to integrate these data with matching RNA-Seq data. In line with observations from other organisms, H3K4me3 marks predominantly transcription start sites of genes. Our H3K4me3 ChIP-Seq data will pave the way for improved genome structural annotation in the emerging reference algaChr. zofingiensis.© 2022 The Authors. Plant Direct published by American Society of Plant Biologists and the Society for Experimental Biology and John Wiley & Sons Ltd."
"35379837","DNA methylation in peripheral tissues and left-handedness.","Sci Rep","Handedness has low heritability and epigenetic mechanisms have been proposed as an etiological mechanism. To examine this hypothesis, we performed an epigenome-wide association study of left-handedness. In a meta-analysis of 3914 adults of whole-blood DNA methylation, we observed that CpG sites located in proximity of handedness-associated genetic variants were more strongly associated with left-handedness than other CpG sites (P = 0.04), but did not identify any differentially methylated positions. In longitudinal analyses of DNA methylation in peripheral blood and buccal cells from children (N = 1737), we observed moderately stable associations across age (correlation range [0.355-0.578]), but inconsistent across tissues (correlation range [- 0.384 to 0.318]). We conclude that DNA methylation in peripheral tissues captures little of the variance in handedness. Future investigations should consider other more targeted sources of tissue, such as the brain.© 2022. The Author(s)."
"35379780","Genetic and environment effects on structural neuroimaging endophenotype for bipolar disorder: a novel molecular approach.","Transl Psychiatry","We investigated gene-environment effects on structural brain endophenotype in bipolar disorder (BD) using a novel method of combining polygenic risk scores with epigenetic signatures since traditional methods of examining the family history and trauma effects have significant limitations. The study enrolled 119 subjects, including 55 BD spectrum (BDS) subjects diagnosed with BD or major depressive disorder (MDD) with subthreshold BD symptoms and 64 non-BDS subjects comprising 32 MDD subjects without BD symptoms and 32 healthy subjects. The blood samples underwent genome-wide genotyping and methylation quantification. We derived polygenic risk score (PRS) and methylation profile score (MPS) as weighted summations of risk single nucleotide polymorphisms and methylation probes, respectively, which were considered as molecular measures of genetic and environmental risks for BD. Linear regression was used to relate PRS, MPS, and their interaction to 44 brain structure measures quantified from magnetic resonance imaging (MRI) on 47 BDS subjects, and the results were compared with those based on family history and childhood trauma. After multiplicity corrections using false discovery rate (FDR), MPS was found to be negatively associated with the volume of the medial geniculate thalamus (FDR = 0.059, partial R2 = 0.208). Family history, trauma scale, and PRS were not associated with any brain measures. PRS and MPS show significant interactions on whole putamen (FDR = 0.09, partial R2 = 0.337). No significant gene-environment interactions were identified for the family history and trauma scale. PRS and MPS generally explained greater proportions of variances of the brain measures (range of partial R2 = [0.008, 0.337]) than the clinical risk factors (range = [0.004, 0.228]).© 2022. The Author(s)."
