EC,date,type,pmid,title,source,abstract
No,20221003,dnam age,36064845,A new cognitive clock matching phenotypic and epigenetic ages.,Transl Psychiatry,"Cognitive abilities decline with age, constituting a major manifestation of aging. The quantitative biomarkers of this process, as well as the correspondence to different biological clocks, remain largely an open problem. In this paper we employ the following cognitive tests: 1. differentiation of shades (campimetry); 2. evaluation of the arithmetic correctness and 3. detection of reversed letters and identify the most significant age-related cognitive indices. Based on their subsets we construct a machine learning-based Cognitive Clock that predicts chronological age with a mean absolute error of 8.62 years. Remarkably, epigenetic and phenotypic ages are predicted by Cognitive Clock with an even better accuracy. We also demonstrate the presence of correlations between cognitive, phenotypic and epigenetic age accelerations that suggests a deep connection between cognitive performance and aging status of an individual.© 2022. The Author(s)."
No,20221003,epigenetics,36064783,Two-layer design protects genes from mutations in their enhancers,Nature,
No,20221003,epigenetics,35951677,Nested epistasis enhancer networks for robust genome regulation,Science,"Mammalian genomes have multiple enhancers spanning an ultralong distance (>megabases) to modulate important genes, but it is unclear how these enhancers coordinate to achieve this task. We combine multiplexed CRISPRi screening with machine learning to define quantitative enhancer-enhancer interactions. We find that the ultralong distance enhancer network has a nested multilayer architecture that confers functional robustness of gene expression. Experimental characterization reveals that enhancer epistasis is maintained by three-dimensional chromosomal interactions and BRD4 condensation. Machine learning prediction of synergistic enhancers provides an effective strategy to identify noncoding variant pairs associated with pathogenic genes in diseases beyond genome-wide association studies analysis. Our work unveils nested epistasis enhancer networks, which can better explain enhancer functions within cells and in diseases."
Yes,20221003,ewas,36170668,Longitudinal Association of DNA Methylation with Type 2 Diabetes and Glycemic Traits: A 5-year Cross-Lagged Twin Study.,Diabetes,"Previous cross-sectional Epigenome-Wide Association Studies (EWASs) in adults have reported hundreds of 5'-cytosine-phosphate-guanine-3' (CpG) sites associated with type 2 diabetes mellitus (T2DM) and glycemic traits. However, the results from EWASs have been inconsistent, and longitudinal observations of these associations are scarce. Twin studies provide a valuable tool for epigenetic studies, as they are naturally matched for genetic information. In this study, we conducted a systematic literature search in PubMed and EMBASE for EWASs, and 214, 33, and 117 candidate CpG sites were selected for T2DM, HbA1c and fasting blood glucose (FBG). Based on 1,070 twins from the Chinese National Twin Registry, 67, 17 and 16 CpG sites from previous studies were validated for T2DM, HbA1c and FBG. Longitudinal review and blood sampling for phenotypic information and DNAm were conducted twice in 2013 and 2018 on 308 twins. A cross-lagged analysis was performed to examine the temporal relationship between DNAm and T2DM or glycemic traits in the longitudinal data. 11 significant paths from T2DM to subsequent DNAm and 15 paths from DNAm to subsequent T2DM were detected, suggesting both directions of associations. For glycemic traits, we detected 17 cross-lagged associations from baseline glycemic traits to subsequent DNAm, and none was from the other cross-lagged direction, indicating CpG sites may be the consequences, not the causes, of glycemic traits. Finally, a longitudinal mediation analysis was performed, and the potential role of DNAm of cg19693031, cg00574958 and cg04816311 in mediating the effect of glycemic traits on T2DM was detected.© 2022 by the American Diabetes Association."
Yes,20221003,ewas,36148884,Prenatal lead (Pb) exposure is associated with differential placental DNA methylation and hydroxymethylation in a human population.,Epigenetics,"Prenatal lead (Pb) exposure is associated with adverse developmental outcomes and to epigenetic alterations such as DNA methylation and hydroxymethylation in animal models and in newborn blood. Given the importance of the placenta in foetal development, we sought to examine how prenatal Pb exposure was associated with differential placental DNA methylation and hydroxymethylation and to identify affected biological pathways linked to developmental outcomes. Maternal (n = 167) and infant (n = 172) toenail and placenta (n = 115) samples for prenatal Pb exposure were obtained from participants in a US birth cohort, and methylation and hydroxymethylation data were quantified using the Illumina Infinium MethylationEPIC BeadChip. An epigenome-wide association study was applied to identify differential methylation and hydroxymethylation associated with Pb exposure. Biological functions of the Pb-associated genes were determined by overrepresentation analysis through ConsensusPathDB. Prenatal Pb quantified from maternal toenail, infant toenail, and placenta was associated with 480, 27, and 2 differentially methylated sites (q < 0.05), respectively, with both increases and decreases associated with exposure. Alternatively, we identified 2, 1, and 14 differentially hydroxymethylated site(s) associated with maternal toenail, infant toenail, and placental Pb, respectively, with most showing increases in hydroxymethylation with exposure. Significantly overrepresented pathways amongst genes associated with differential methylation and hydroxymethylation (q < 0.10) included mechanisms pertaining to nervous system and organ development, calcium transport and regulation, and signalling activities. Our results suggest that both methylation and hydroxymethylation in the placenta can be variable based on Pb exposure and that the pathways impacted could affect placental function."
Yes,20221003,ewas,36142605,Identification of <i>NHLRC1</i> as a Novel AKT Activator from a Lung Cancer Epigenome-Wide Association Study (EWAS).,Int J Mol Sci,"Changes in DNA methylation identified by epigenome-wide association studies (EWAS) have been recently linked to increased lung cancer risk. However, the cellular effects of these differentially methylated positions (DMPs) are often unclear. Therefore, we investigated top differentially methylated positions identified from an EWAS study. This included a putative regulatory region ofNHLRC1. Hypomethylation of this gene was recently linked with decreased survival rates in lung cancer patients. HumanMethylation450 BeadChip array (450K) analysis was performed on 66 lung cancer case-control pairs from the European Prospective Investigation into Cancer and Nutrition Heidelberg lung cancer EWAS (EPIC HD) cohort. DMPs identified in these pre-diagnostic blood samples were then investigated for differential DNA methylation in lung tumor versus adjacent normal lung tissue from The Cancer Genome Atlas (TCGA) and replicated in two independent lung tumor versus adjacent normal tissue replication sets with MassARRAY. The EPIC HD top hypermethylated DMP cg06646708 was found to be a hypomethylated region in multiple data sets of lung tumor versus adjacent normal tissue. Hypomethylation within this region caused increased mRNA transcription of the closest geneNHLRC1in lung tumors. In functional assays, we demonstrate attenuated proliferation, viability, migration, and invasion uponNHLRC1knock-down in lung cancer cells. Furthermore, diminished AKT phosphorylation at serine 473 causing expression of pro-apoptotic AKT-repressed genes was detected in these knock-down experiments. In conclusion, this study demonstrates the powerful potential for discovery of novel functional mechanisms in oncogenesis based on EWAS DNA methylation data.NHLRC1holds promise as a new prognostic biomarker for lung cancer survival and prognosis, as well as a target for novel treatment strategies in lung cancer patients."
Yes,20221003,ewas,36109771,Distinct sex-specific DNA methylation differences in Alzheimer's disease.,Alzheimers Res Ther,"Sex is increasingly recognized as a significant factor contributing to the biological and clinical heterogeneity in AD. There is also growing evidence for the prominent role of DNA methylation (DNAm) in Alzheimer's disease (AD).We studied sex-specific DNA methylation differences in the blood samples of AD subjects compared to cognitively normal subjects, by performing sex-specific meta-analyses of two large blood-based epigenome-wide association studies (ADNI and AIBL), which included DNA methylation data for a total of 1284 whole blood samples (632 females and 652 males). Within each dataset, we used two complementary analytical strategies, a sex-stratified analysis that examined methylation to AD associations in male and female samples separately, and a methylation-by-sex interaction analysis that compared the magnitude of these associations between different sexes. After adjusting for age, estimated immune cell type proportions, batch effects, and correcting for inflation, the inverse-variance fixed-effects meta-analysis model was used to identify the most consistent DNAm differences across datasets. In addition, we also evaluated the performance of the sex-specific methylation-based risk prediction models for AD diagnosis using an independent external dataset.In the sex-stratified analysis, we identified 2 CpGs, mapped to the PRRC2A and RPS8 genes, significantly associated with AD in females at a 5% false discovery rate, and an additional 25 significant CpGs (21 in females, 4 in males) at P-value < 1×10-5. In methylation-by-sex interaction analysis, we identified 5 significant CpGs at P-value < 10-5. Out-of-sample validations using the AddNeuroMed dataset showed in females, the best logistic prediction model included age, estimated immune cell-type proportions, and methylation risk scores (MRS) computed from 9 of the 23 CpGs identified in AD vs. CN analysis that are also available in AddNeuroMed dataset (AUC = 0.74, 95% CI: 0.65-0.83). In males, the best logistic prediction model included only age and MRS computed from 2 of the 5 CpGs identified in methylation-by-sex interaction analysis that are also available in the AddNeuroMed dataset (AUC = 0.70, 95% CI: 0.56-0.82).Overall, our results show that the DNA methylation differences in AD are largely distinct between males and females. Our best-performing sex-specific methylation-based prediction model in females performed better than that for males and additionally included estimated cell-type proportions. The significant discriminatory classification of AD samples with our methylation-based prediction models demonstrates that sex-specific DNA methylation could be a predictive biomarker for AD. As sex is a strong factor underlying phenotypic variability in AD, the results of our study are particularly relevant for a better understanding of the epigenetic architecture that underlie AD and for promoting precision medicine in AD.© 2022. The Author(s)."
Yes,20221003,ewas,36091392,The shared mother-child epigenetic signature of neglect is related to maternal adverse events.,Front Physiol,"Studies of DNA methylation have revealed the biological mechanisms by which life adversity confers risk for later physical and mental health problems. What remains unknown is the ""biologically embedding"" of maternal adverse experiences resulting in maladaptive parenting and whether these epigenetic effects are transmitted to the next generation. This study focuses on neglectful mothering indexed by a severe disregard for the basic and psychological needs of the child. Using the Illumina Human Methylation EPIC BeadChip in saliva samples, we identified genes with differentially methylated regions (DMRs) in those mothers with (n= 51), versus those without (n= 87), neglectful behavior that present similar DMRs patterns in their children being neglected versus non-neglected (n= 40 vs. 75). Mothers reported the emotional intensity of adverse life events. After covariate adjustment and multiple testing corrections, we identified 69 DMRs in the mother epigenome and 42 DMRs in the child epigenome that were simultaneously above the α = 0.01 threshold. The common set of nine DMRs contained genes related to childhood adversity, neonatal and infant diabetes, child neurobehavioral development and other health problems such as obesity, hypertension, cancer, posttraumatic stress, and the Alzheimer's disease; four of the genes were associated with maternal life adversity. Identifying a shared epigenetic signature of neglect linked to maternal life adversity is an essential step in breaking the intergenerational transmission of one of the most common forms of childhood maltreatment.Copyright © 2022 León, Herrero Roldán, Rodrigo, López Rodríguez, Fisher, Mitchell and Lage-Castellanos."
Yes,20221003,ewas,36127421,DNA methylation as a pharmacodynamic marker of glucocorticoid response and glioma survival.,Nat Commun,"Assessing individual responses to glucocorticoid drug therapies that compromise immune status and affect survival outcomes in neuro-oncology is a great challenge. Here we introduce a blood-based neutrophil dexamethasone methylation index (NDMI) that provides a measure of the epigenetic response of subjects to dexamethasone. This marker outperforms conventional approaches based on leukocyte composition as a marker of glucocorticoid response. The NDMI is associated with low CD4 T cells and the accumulation of monocytic myeloid-derived suppressor cells and also serves as prognostic factor in glioma survival. In a non-glioma population, the NDMI increases with a history of prednisone use. Therefore, it may also be informative in other conditions where glucocorticoids are employed. We conclude that DNA methylation remodeling within the peripheral immune compartment is a rich source of clinically relevant markers of glucocorticoid response.© 2022. The Author(s)."
No,20221003,ml,36064595,Big data in basic and translational cancer research.,Nat Rev Cancer,"Historically, the primary focus of cancer research has been molecular and clinical studies of a few essential pathways and genes. Recent years have seen the rapid accumulation of large-scale cancer omics data catalysed by breakthroughs in high-throughput technologies. This fast data growth has given rise to an evolving concept of 'big data' in cancer, whose analysis demands large computational resources and can potentially bring novel insights into essential questions. Indeed, the combination of big data, bioinformatics and artificial intelligence has led to notable advances in our basic understanding of cancer biology and to translational advancements. Further advances will require a concerted effort among data scientists, clinicians, biologists and policymakers. Here, we review the current state of the art and future challenges for harnessing big data to advance cancer research and treatment.© 2022. This is a U.S. Government work and not under copyright protection in the US; foreign copyright protection may apply."
