person,ec,date,type,pmid,title,source,abstract
,,,,37309088,Whole-genome methylation analysis of aging human tissues identifies age-related changes in developmental and neurological pathways.,Aging Cell,"Age-associated changes in the DNA methylation state can be used to assess the pace of aging. However, it is not understood what mechanisms drive these changes and whether these changes affect the development of aging phenotypes and the aging process in general. This study was aimed at gaining a more comprehensive understanding of aging-related methylation changes across the whole genome, and relating these changes to biological functions. It has been shown that skeletal muscle and blood monocytes undergo typical changes with aging. Using whole-genome bisulfite sequencing, we sought to characterize the genome-wide changes in methylation of DNA derived from both skeletal muscle and blood monocytes, and link these changes to specific genes and pathways through enrichment analysis. We found that methylation changes occur with aging at the locations enriched for developmental and neuronal pathways regulated in these two peripheral tissues. These results contribute to our understanding of changes in epigenome in human aging.Published 2023. This article is a U.S. Government work and is in the public domain in the USA. Aging Cell published by Anatomical Society and John Wiley & Sons Ltd."
,,,,37300819,Sex-specific DNA methylation in saliva from the multi-ethnic Future of Families and Child Wellbeing Study.,Epigenetics,"The prevalence and severity of many diseases differs by sex, potentially due to sex-specific patterns in DNA methylation. Autosomal sex-specific differences in DNA methylation have been observed in cord blood and placental tissue but are not well studied in saliva or in diverse populations. We sought to characterize sex-specific DNA methylation on autosomal chromosomes in saliva samples from children in the Future of Families and Child Wellbeing Study, a multi-ethnic prospective birth cohort containing an oversampling of Black, Hispanic and low-income families. DNA methylation from saliva samples was analysed on 796 children (50.6% male) at both ages 9 and 15 with DNA methylation measured using the Illumina HumanMethylation 450k array. An epigenome-wide association analysis of the age 9 samples identified 8,430 sex-differentiated autosomal DNA methylation sites (P < 2.4 × 10-7), of which 76.2% had higher DNA methylation in female children. The strongest sex-difference was in the cg26921482 probe, in theAMDHD2gene, with 30.6% higher DNA methylation in female compared to male children (P < 1 × 10-300). Treating the age 15 samples as an internal replication set, we observed highly consistent results between the ages 9 and 15 measurements, indicating stable and replicable sex-differentiation. Further, we directly compared our results to previously published DNA methylation sex differences in both cord blood and saliva and again found strong consistency. Our findings support widespread and robust sex-differential DNA methylation across age, human tissues, and populations. These findings help inform our understanding of potential biological processes contributing to sex differences in human physiology and disease."
,,,,37264042,On the thermodynamics of DNA methylation process.,Sci Rep,"DNA methylation is an epigenetic mechanism that plays important roles in various biological processes including transcriptional and post-transcriptional regulation, genomic imprinting, aging, and stress response to environmental changes and disease. Consistent with thermodynamic principles acting within living systems and the application of maximum entropy principle, we propose a theoretical framework to understand and decode the DNA methylation process. A central tenet of this argument is that the probability density function of DNA methylation information-divergence summarizes the statistical biophysics underlying spontaneous methylation background and implicitly bears on the channel capacity of molecular machines conforming to Shannon's capacity theorem. On this theoretical basis, contributions from the molecular machine (enzyme) logical operations to Gibb entropy (S) and Helmholtz free energy (F) are intrinsic. Application to the estimations of S on datasets from Arabidopsis thaliana suggests that, as a thermodynamic state variable, individual methylome entropy is completely determined by the current state of the system, which in biological terms translates to a correspondence between estimated entropy values and observable phenotypic state. In patients with different types of cancer, results suggest that a significant information loss occurs in the transition from differentiated (healthy) tissues to cancer cells. This type of analysis may have important implications for early-stage diagnostics. The analysis of entropy fluctuations on experimental datasets revealed existence of restrictions on the magnitude of genome-wide methylation changes originating by organismal response to environmental changes. Only dysfunctional stages observed in the Arabidopsis mutant met1 and in cancer cells do not conform to these rules.© 2023. The Author(s)."
,,,,37258616,Genome-wide DNA methylation association study of recent and cumulative marijuana use in middle aged adults.,Mol Psychiatry,"Marijuana is a widely used psychoactive substance in the US and medical and recreational legalization has risen over the past decade. Despite the growing number of individuals using marijuana, studies investigating the association between epigenetic factors and recent and cumulative marijuana use remain limited. We therefore investigated the association between recent and cumulative marijuana use and DNA methylation levels. Participants from the Coronary Artery Risk Development in Young Adults Study with whole blood collected at examination years (Y) 15 and Y20 were randomly selected to undergo DNA methylation profiling at both timepoints using the Illumina MethylationEPIC BeadChip. Recent use of marijuana was queried at each examination and used to estimate cumulative marijuana use from Y0 to Y15 and Y20. At Y15 (n = 1023), we observed 22 and 31 methylation markers associated (FDR P ≤ 0.05) with recent and cumulative marijuana use and 132 and 16 methylation markers at Y20 (n = 883), respectively. We replicated 8 previously reported methylation markers associated with marijuana use. We further identified 640 cis-meQTLs and 198 DMRs associated with recent and cumulative use at Y15 and Y20. Differentially methylated genes were statistically overrepresented in pathways relating to cellular proliferation, hormone signaling, and infections as well as schizophrenia, bipolar disorder, and substance-related disorders. We identified numerous methylation markers, pathways, and diseases associated with recent and cumulative marijuana use in middle-aged adults, providing additional insight into the association between marijuana use and the epigenome. These results provide novel insights into the role marijuana has on the epigenome and related health conditions.© 2023. The Author(s)."
,,,,37268982,Epigenetic age acceleration mediates the association between smoking and diabetes-related outcomes.,Clin Epigenetics,"Smoking can lead to the deterioration of lung function and susceptibility to diabetes. Recently, smoking was found to induce DNA methylation (DNAm) changes in some cytosine-phosphate-guanine sites (CpGs). As linear combinations of DNAm levels of aging-related CpGs, five measures of epigenetic age acceleration (EAA) have received extensive attention: HannumEAA, IEAA, PhenoEAA, GrimEAA, and DunedinPACE. It is of interest to explore whether some measures of EAA can mediate the associations of smoking with diabetes-related outcomes and indices of ventilatory lung function.In this study, we included self-reported smoking variables (smoking status, the number of pack-years, and years since smoking cessation), seven DNAm markers (HannumEAA, IEAA, PhenoEAA, GrimEAA, DNAm-based smoking pack-years, DNAm plasminogen activator inhibitor 1 [PAI-1] levels, and DunedinPACE), and four health outcomes (fasting glucose, hemoglobin A1C, forced expiratory volume in 1.0 s [FEV1], and forced vital capacity [FVC]) from 2474 Taiwan Biobank participants. Mediation analyses were conducted while adjusting for chronological age, sex, body mass index, drinking status, regular exercise status, educational attainment, and five cell-type proportions. We demonstrated that GrimEAA, DNAm-based smoking pack-years, DNAm PAI-1 levels, DunedinPACE, and PhenoEAA mediated smoking associations with diabetes-related outcomes. Moreover, current and former smoking both had an adverse indirect effect on FVC through DNAm PAI-1 levels. For former smokers, a long time since smoking cessation had a positive indirect impact on FVC through GrimEAA and on FEV1 through PhenoEAA.This is one of the first studies to comprehensively investigate the role of five measures of EAA in mediating the associations of smoking with the health outcomes of an Asian population. The results showed that the second-generation epigenetic clocks (GrimEAA, DunedinPACE, and PhenoEAA) significantly mediated the associations between smoking and diabetes-related outcomes. In contrast, the first-generation epigenetic clocks (HannumEAA and IEAA) did not significantly mediate any associations of smoking variables with the four health outcomes. Cigarette smoking can, directly and indirectly, deteriorate human health through DNAm changes in aging-related CpG sites.© 2023. The Author(s)."
,,,,37259015,A metabolomic signature of decelerated physiological aging in human plasma.,Geroscience,"The degenerative processes that occur during aging increase the risk of disease and impaired health. Meanwhile, interventions that target aging to promote healthy longevity are gaining interest, both academically and in the public. While nutritional and physical interventions exist, efficacy is often difficult to determine. It is therefore imperative that an aging score measuring the biological aging process is available to the wider public. However, simple, interpret, and accessible biological aging scores are lacking. Here, we developed PhysiAge, a physiological aging score based on five accessible parameters that have influence on or reflect the aging process: (1) average daily step count, (2) blood glucose, (3) systolic blood pressure, (4) sex, and (5) age. Here, we found that compared to calendar age alone, PhysiAge better predicts mortality, as well as established muscle aging markers such as decrease in NAD+levels, increase in oxidative stress, and decline in physical functioning. In order to demonstrate the usefulness of PhysiAge in identifying relevant factors associated with decelerated aging, we calculated PhysiAges for a cohort of aged individuals and obtained mass spectrometry-based blood plasma metabolomic profiles for each individual. Here, we identified a metabolic signature of decelerated aging, which included components of the TCA cycle, including malate, citrate, and isocitrate. Higher abundance of these metabolites was associated with decelerated aging, in line with supplementation studies in model organisms. PhysiAge represents an accessible way for people to track and intervene in their aging trajectories, and identifies a metabolic signature of decelerated aging in human blood plasma, which can be further studied for its causal involvement in human aging.© 2023. The Author(s)."
,,,,37291214,An integrated cell atlas of the lung in health and disease.,Nat Med,"Single-cell technologies have transformed our understanding of human tissues. Yet, studies typically capture only a limited number of donors and disagree on cell type definitions. Integrating many single-cell datasets can address these limitations of individual studies and capture the variability present in the population. Here we present the integrated Human Lung Cell Atlas (HLCA), combining 49 datasets of the human respiratory system into a single atlas spanning over 2.4 million cells from 486 individuals. The HLCA presents a consensus cell type re-annotation with matching marker genes, including annotations of rare and previously undescribed cell types. Leveraging the number and diversity of individuals in the HLCA, we identify gene modules that are associated with demographic covariates such as age, sex and body mass index, as well as gene modules changing expression along the proximal-to-distal axis of the bronchial tree. Mapping new data to the HLCA enables rapid data annotation and interpretation. Using the HLCA as a reference for the study of disease, we identify shared cell states across multiple lung diseases, including SPP1+profibrotic monocyte-derived macrophages in COVID-19, pulmonary fibrosis and lung carcinoma. Overall, the HLCA serves as an example for the development and use of large-scale, cross-dataset organ atlases within the Human Cell Atlas.© 2023. The Author(s)."
,,,,37264206,Genetically adjusted PSA levels for prostate cancer screening.,Nat Med,"Prostate-specific antigen (PSA) screening for prostate cancer remains controversial because it increases overdiagnosis and overtreatment of clinically insignificant tumors. Accounting for genetic determinants of constitutive, non-cancer-related PSA variation has potential to improve screening utility. In this study, we discovered 128 genome-wide significant associations (P < 5 × 10-8) in a multi-ancestry meta-analysis of 95,768 men and developed a PSA polygenic score (PGSPSA) that explains 9.61% of constitutive PSA variation. We found that, in men of European ancestry, using PGS-adjusted PSA would avoid up to 31% of negative prostate biopsies but also result in 12% fewer biopsies in patients with prostate cancer, mostly with Gleason score <7 tumors. Genetically adjusted PSA was more predictive of aggressive prostate cancer (odds ratio (OR) = 3.44, P = 6.2 × 10-14, area under the curve (AUC) = 0.755) than unadjusted PSA (OR = 3.31, P = 1.1 × 10-12, AUC = 0.738) in 106 cases and 23,667 controls. Compared to a prostate cancer PGS alone (AUC = 0.712), including genetically adjusted PSA improved detection of aggressive disease (AUC = 0.786, P = 7.2 × 10-4). Our findings highlight the potential utility of incorporating PGS for personalized biomarkers in prostate cancer screening.© 2023. The Author(s)."
,,,,37216410,Canonical correlation analysis for multi-omics: Application to cross-cohort analysis.,PLoS Genet,"Integrative approaches that simultaneously model multi-omics data have gained increasing popularity because they provide holistic system biology views of multiple or all components in a biological system of interest. Canonical correlation analysis (CCA) is a correlation-based integrative method designed to extract latent features shared between multiple assays by finding the linear combinations of features-referred to as canonical variables (CVs)-within each assay that achieve maximal across-assay correlation. Although widely acknowledged as a powerful approach for multi-omics data, CCA has not been systematically applied to multi-omics data in large cohort studies, which has only recently become available. Here, we adapted sparse multiple CCA (SMCCA), a widely-used derivative of CCA, to proteomics and methylomics data from the Multi-Ethnic Study of Atherosclerosis (MESA) and Jackson Heart Study (JHS). To tackle challenges encountered when applying SMCCA to MESA and JHS, our adaptations include the incorporation of the Gram-Schmidt (GS) algorithm with SMCCA to improve orthogonality among CVs, and the development of Sparse Supervised Multiple CCA (SSMCCA) to allow supervised integration analysis for more than two assays. Effective application of SMCCA to the two real datasets reveals important findings. Applying our SMCCA-GS to MESA and JHS, we identified strong associations between blood cell counts and protein abundance, suggesting that adjustment of blood cell composition should be considered in protein-based association studies. Importantly, CVs obtained from two independent cohorts also demonstrate transferability across the cohorts. For example, proteomic CVs learned from JHS, when transferred to MESA, explain similar amounts of blood cell count phenotypic variance in MESA, explaining 39.0% ~ 50.0% variation in JHS and 38.9% ~ 49.1% in MESA. Similar transferability was observed for other omics-CV-trait pairs. This suggests that biologically meaningful and cohort-agnostic variation is captured by CVs. We anticipate that applying our SMCCA-GS and SSMCCA on various cohorts would help identify cohort-agnostic biologically meaningful relationships between multi-omics data and phenotypic traits.Copyright: © 2023 Jiang et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited."
,,,,37280296,The technological landscape and applications of single-cell multi-omics.,Nat Rev Mol Cell Biol,"Single-cell multi-omics technologies and methods characterize cell states and activities by simultaneously integrating various single-modality omics methods that profile the transcriptome, genome, epigenome, epitranscriptome, proteome, metabolome and other (emerging) omics. Collectively, these methods are revolutionizing molecular cell biology research. In this comprehensive Review, we discuss established multi-omics technologies as well as cutting-edge and state-of-the-art methods in the field. We discuss how multi-omics technologies have been adapted and improved over the past decade using a framework characterized by optimization of throughput and resolution, modality integration, uniqueness and accuracy, and we also discuss multi-omics limitations. We highlight the impact that single-cell multi-omics technologies have had in cell lineage tracing, tissue-specific and cell-specific atlas production, tumour immunology and cancer genetics, and in mapping of cellular spatial information in fundamental and translational research. Finally, we discuss bioinformatics tools that have been developed to link different omics modalities and elucidate functionality through the use of better mathematical modelling and computational methods.© 2023. Springer Nature Limited."
