ec,date,type,pmid,title,source,abstract
No,20210416,Cell-free DNA,33752803,"Applications of genetic-epigenetic tissue mapping for plasma DNA in prenatal testing, transplantation and oncology.",Elife,"We developed genetic-epigenetic tissue mapping (GETMap) to determine the tissue composition of plasma DNA carrying genetic variants not present in the constitutional genome through comparing their methylation profiles with relevant tissues. We validated this approach by showing that, in pregnant women, circulating DNA carrying fetal-specific alleles was entirely placenta-derived. In lung transplant recipients, we showed that, at 72 hr after transplantation, the lung contributed only a median of 17% to the plasma DNA carrying donor-specific alleles, and hematopoietic cells contributed a median of 78%. In hepatocellular cancer patients, the liver was identified as the predominant source of plasma DNA carrying tumor-specific mutations. In a pregnant woman with lymphoma, plasma DNA molecules carrying cancer mutations and fetal-specific alleles were accurately shown to be derived from the lymphocytes and placenta, respectively. Analysis of tissue origin for plasma DNA carrying genetic variants is potentially useful for noninvasive prenatal testing, transplantation monitoring, and cancer screening."
No,20210416,Epigenetics,33844406,The interplay between DNA and histone methylation: molecular mechanisms and disease implications.,EMBO Rep,"Methylation of cytosine in CpG dinucleotides and histone lysine and arginine residues is a chromatin modification that critically contributes to the regulation of genome integrity, replication, and accessibility. A strong correlation exists between the genome-wide distribution of DNA and histone methylation, suggesting an intimate relationship between these epigenetic marks. Indeed, accumulating literature reveals complex mechanisms underlying the molecular crosstalk between DNA and histone methylation. These in vitro and in vivo discoveries are further supported by the finding that genes encoding DNA- and histone-modifying enzymes are often mutated in overlapping human diseases. Here, we summarize recent advances in understanding how DNA and histone methylation cooperate to maintain the cellular epigenomic landscape. We will also discuss the potential implication of these insights for understanding the etiology of, and developing biomarkers and therapies for, human congenital disorders and cancers that are driven by chromatin abnormalities.© 2021 The Authors."
No,20210416,Epigenetics,33808774,Identification of a Minimal 3-Transcript Signature to Differentiate Viral from Bacterial Infection from Best Genome-Wide Host RNA Biomarkers: A Multi-Cohort Analysis.,Int J Mol Sci,"The fight against the spread of antibiotic resistance is one of the most important challenges facing health systems worldwide. Given the limitations of current diagnostic methods, the development of fast and accurate tests for the diagnosis of viral and bacterial infections would improve patient management and treatment, as well as contribute to reducing antibiotic misuse in clinical settings. In this scenario, analysis of host transcriptomics constitutes a promising target to develop new diagnostic tests based on the host-specific response to infections. We carried out a multi-cohort meta-analysis of blood transcriptomic data available in public databases, including 11 different studies and 1209 samples from virus- (n= 695) and bacteria- (n= 514) infected patients. We applied a Parallel Regularized Regression Model Search (PReMS) on a set of previously reported genes that distinguished viral from bacterial infection to find a minimum gene expression bio-signature. This strategy allowed us to detect three genes, namelyBAFT,ISG15andDNMT1, that clearly differentiate groups of infection with high accuracy (training set: area under the curve (AUC) 0.86 (sensitivity: 0.81; specificity: 0.87); testing set: AUC 0.87 (sensitivity: 0.82; specificity: 0.86)).BAFTandISG15are involved in processes related to immune response, whileDNMT1is related to the preservation of methylation patterns, and its expression is modulated by pathogen infections. We successfully tested this three-transcript signature in the 11 independent studies, demonstrating its high performance under different scenarios. The main advantage of this three-gene signature is the low number of genes needed to differentiate both groups of patient categories."
No,20210416,Epigenetics,33795684,Evolution of DNA methylation in the human brain.,Nat Commun,"DNA methylation is a critical regulatory mechanism implicated in development, learning, memory, and disease in the human brain. Here we have elucidated DNA methylation changes during recent human brain evolution. We demonstrate dynamic evolutionary trajectories of DNA methylation in cell-type and cytosine-context specific manner. Specifically, DNA methylation in non-CG context, namely CH methylation, has increased (hypermethylation) in neuronal gene bodies during human brain evolution, contributing to human-specific down-regulation of genes and co-expression modules. The effects of CH hypermethylation is particularly pronounced in early development and neuronal subtypes. In contrast, DNA methylation in CG context shows pronounced reduction (hypomethylation) in human brains, notably in cis-regulatory regions, leading to upregulation of downstream genes. We show that the majority of differential CG methylation between neurons and oligodendrocytes originated before the divergence of hominoids and catarrhine monkeys, and harbors strong signal for genetic risk for schizophrenia. Remarkably, a substantial portion of differential CG methylation between neurons and oligodendrocytes emerged in the human lineage since the divergence from the chimpanzee lineage and carries significant genetic risk for schizophrenia. Therefore, recent epigenetic evolution of human cortex has shaped the cellular regulatory landscape and contributed to the increased vulnerability to neuropsychiatric diseases."
No,20210416,Epigenetics,33828297,Genome-wide enhancer maps link risk variants to disease genes.,Nature,"Genome-wide association studies (GWAS) have identified thousands of noncoding loci that are associated with human diseases and complex traits, each of which could reveal insights into the mechanisms of disease1. Many of the underlying causal variants may affect enhancers2,3, but we lack accurate maps of enhancers and their target genes to interpret such variants. We recently developed the activity-by-contact (ABC) model to predict which enhancers regulate which genes and validated the model using CRISPR perturbations in several cell types4. Here we apply this ABC model to create enhancer-gene maps in 131 human cell types and tissues, and use these maps to interpret the functions of GWAS variants. Across 72 diseases and complex traits, ABC links 5,036 GWAS signals to 2,249 unique genes, including a class of 577 genes that appear to influence multiple phenotypes through variants in enhancers that act in different cell types. In inflammatory bowel disease (IBD), causal variants are enriched in predicted enhancers by more than 20-fold in particular cell types such as dendritic cells, and ABC achieves higher precision than other regulatory methods at connecting noncoding variants to target genes. These variant-to-function maps reveal an enhancer that contains an IBD risk variant and that regulates the expression of PPIF to alter the membrane potential of mitochondria in macrophages. Our study reveals principles of genome regulation, identifies genes that affect IBD and provides a resource and generalizable strategy to connect risk variants of common diseases to their molecular and cellular functions."
No,20210416,Epigenetics,33758175,Epigenetically regulated digital signaling defines epithelial innate immunity at the tissue level.,Nat Commun,"To prevent damage to the host or its commensal microbiota, epithelial tissues must match the intensity of the immune response to the severity of a biological threat. Toll-like receptors allow epithelial cells to identify microbe associated molecular patterns. However, the mechanisms that mitigate biological noise in single cells to ensure quantitatively appropriate responses remain unclear. Here we address this question using single cell and single molecule approaches in mammary epithelial cells and primary organoids. We find that epithelial tissues respond to bacterial microbe associated molecular patterns by activating a subset of cells in an all-or-nothing (i.e. digital) manner. The maximum fraction of responsive cells is regulated by a bimodal epigenetic switch that licenses the TLR2 promoter for transcription across multiple generations. This mechanism confers a flexible memory of inflammatory events as well as unique spatio-temporal control of epithelial tissue-level immune responses. We propose that epigenetic licensing in individual cells allows for long-term, quantitative fine-tuning of population-level responses."
No,20210416,Epigenetics,33828295,"The structure, function and evolution of a complete human chromosome 8.",Nature,"The complete assembly of each human chromosome is essential for understanding human biology and evolution1,2. Here we use complementary long-read sequencing technologies to complete the linear assembly of human chromosome 8. Our assembly resolves the sequence of five previously long-standing gaps, including a 2.08-Mb centromeric α-satellite array, a 644-kb copy number polymorphism in the β-defensin gene cluster that is important for disease risk, and an 863-kb variable number tandem repeat at chromosome 8q21.2 that can function as a neocentromere. We show that the centromeric α-satellite array is generally methylated except for a 73-kb hypomethylated region of diverse higher-order α-satellites enriched with CENP-A nucleosomes, consistent with the location of the kinetochore. In addition, we confirm the overall organization and methylation pattern of the centromere in a diploid human genome. Using a dual long-read sequencing approach, we complete high-quality draft assemblies of the orthologous centromere from chromosome 8 in chimpanzee, orangutan and macaque to reconstruct its evolutionary history. Comparative and phylogenetic analyses show that the higher-order α-satellite structure evolved in the great ape ancestor with a layered symmetry, in which more ancient higher-order repeats locate peripherally to monomeric α-satellites. We estimate that the mutation rate of centromeric satellite DNA is accelerated by more than 2.2-fold compared to the unique portions of the genome, and this acceleration extends into the flanking sequence."
Yes,20210416,EWAS,33845866,DNA methylation in cord blood in association with prenatal depressive symptoms.,Clin Epigenetics,"Prenatal symptoms of depression (PND) and anxiety affect up to every third pregnancy. Children of mothers with mental health problems are at higher risk of developmental problems, possibly through epigenetic mechanisms together with other factors such as genetic and environmental. We investigated DNA methylation in cord blood in relation to PND, taking into consideration a history of depression, co-morbidity with anxiety and selective serotonin reuptake inhibitors (SSRI) use, and stratified by sex of the child. Mothers (N = 373) prospectively filled out web-based questionnaires regarding mood symptoms and SSRI use throughout pregnancy. Cord blood was collected at birth and DNA methylation was measured using Illumina MethylationEPIC array at 850 000 CpG sites throughout the genome. Differentially methylated regions were identified using Kruskal-Wallis test, and Benjamini-Hochberg adjusted p-values < 0.05 were considered significant.No differential DNA methylation was associated with PND alone; however, differential DNA methylation was observed in children exposed to comorbid PND with anxiety symptoms compared with healthy controls in ABCF1 (log twofold change - 0.2), but not after stratification by sex of the child. DNA methylation in children exposed to PND without SSRI treatment and healthy controls both differed in comparison with SSRI exposed children at several sites and regions, among which hypomethylation was observed in CpGs in the promoter region of CRBN (log2 fold change - 0.57), involved in brain development, and hypermethylation in MDFIC (log2 fold change 0.45), associated with the glucocorticoid stress response.Although it is not possible to assess if these methylation differences are due to SSRI treatment itself or to more severe depression, our findings add on to existing knowledge that there might be different biological consequences for the child depending on whether maternal PND was treated with SSRIs or not."
Yes,20210416,EWAS,33838873,Brain DNA Methylation Patterns in CLDN5 Associated With Cognitive Decline.,Biol Psychiatry,"Cognitive trajectory varies widely and can distinguish people who develop dementia from people who remain cognitively normal. Variation in cognitive trajectory is only partially explained by traditional neuropathologies. We sought to identify novel genes associated with cognitive trajectory using DNA methylation profiles from human postmortem brain.We performed a brain epigenome-wide association study of cognitive trajectory in 636 participants from the ROS (Religious Orders Study) and MAP (Rush Memory and Aging Project) using DNA methylation profiles of the dorsolateral prefrontal cortex. To maximize our power to detect epigenetic associations, we used the recently developed Gene Association with Multiple Traits test to analyze the 5 measured cognitive domains simultaneously.We found an epigenome-wide association for differential methylation of sites in the CLDN5 locus and cognitive trajectory (p = 9.96 × 10-7) that was robust to adjustment for cell type proportions (p = 8.52 × 10-7). This association was primarily driven by association with declines in episodic (p = 4.65 × 10-6) and working (p = 2.54 × 10-7) memory. This association between methylation in CLDN5 and cognitive decline was significant even in participants with no or little signs of amyloid-β and neurofibrillary tangle pathology.Differential methylation of CLDN5, a gene that encodes an important protein of the blood-brain barrier, is associated with cognitive trajectory beyond traditional Alzheimer's disease pathologies. The association between CLDN5 methylation and cognitive trajectory in people with low pathology suggests an early role for CLDN5 and blood-brain barrier dysfunction in cognitive decline and Alzheimer's disease.Copyright © 2021 Society of Biological Psychiatry. All rights reserved."
Yes,20210416,EWAS,33823916,Persistent variations of blood DNA methylation associated with treatment exposures and risk for cardiometabolic outcomes in long-term survivors of childhood cancer in the St. Jude Lifetime Cohort.,Genome Med,"It is well-established that cancer treatment substantially increases the risk of long-term adverse health outcomes among childhood cancer survivors. However, there is limited research on the underlying mechanisms. To elucidate the pathophysiology and a possible causal pathway from treatment exposures to cardiometabolic conditions, we conducted epigenome-wide association studies (EWAS) to identify the DNA methylation (DNAm) sites associated with cancer treatment exposures and examined whether treatment-associated DNAm sites mediate associations between specific treatments and cardiometabolic conditions.We included 2052 survivors (median age 33.7 years) of European ancestry from the St. Jude Lifetime Cohort Study, a retrospective hospital-based study with prospective clinical follow-up. Cumulative doses of chemotherapy and region-specific radiation were abstracted from medical records. Seven cardiometabolic conditions were clinically assessed. DNAm profile was measured using MethylationEPIC BeadChip with blood-derived DNA.By performing multiple treatment-specific EWAS, we identified 935 5'-cytosine-phosphate-guanine-3' (CpG) sites mapped to 538 genes/regions associated with one or more cancer treatments at the epigenome-wide significance level (p < 9 × 10-8). Among the treatment-associated CpGs, 8 were associated with obesity, 63 with hypercholesterolemia, and 17 with hypertriglyceridemia (false discovery rate-adjusted p < 0.05). We observed substantial mediation by methylation at four independent CpGs (cg06963130, cg21922478, cg22976567, cg07403981) for the association between abdominal field radiotherapy (abdominal-RT) and risk of hypercholesterolemia (70.3%) and by methylation at three CpGs (cg19634849, cg13552692, cg09853238) for the association between abdominal-RT and hypertriglyceridemia (54.6%). In addition, three CpGs (cg26572901, cg12715065, cg21163477) partially mediated the association between brain-RT and obesity with a 32.9% mediation effect, and two CpGs mediated the association between corticosteroids and obesity (cg22351187, 14.2%) and between brain-RT and hypertriglyceridemia (cg13360224, 10.5%). Notably, several mediator CpGs reside in the proximity of well-established dyslipidemia genes: cg21922478 (ITGA1) and cg22976567 (LMNA).In childhood cancer survivors, cancer treatment exposures are associated with DNAm patterns present decades following the exposure. Treatment-associated DNAm sites may mediate the causal pathway from specific treatment exposures to certain cardiometabolic conditions, suggesting the utility of DNAm sites as risk predictors and potential mechanistic targets for future intervention studies."
