EC,,Category,pmid,title,source,abstract
No,,Epigenetics,34489442,The concurrence of DNA methylation and demethylation is associated with transcription regulation.,Nat Commun,"The mammalian DNA methylome is formed by two antagonizing processes, methylation by DNA methyltransferases (DNMT) and demethylation by ten-eleven translocation (TET) dioxygenases. Although the dynamics of either methylation or demethylation have been intensively studied in the past decade, the direct effects of their interaction on gene expression remain elusive. Here, we quantify the concurrence of DNA methylation and demethylation by the percentage of unmethylated CpGs within a partially methylated read from bisulfite sequencing. After verifying 'methylation concurrence' by its strong association with the co-localization of DNMT and TET enzymes, we observe that methylation concurrence is strongly correlated with gene expression. Notably, elevated methylation concurrence in tumors is associated with the repression of 40~60% of tumor suppressor genes, which cannot be explained by promoter hypermethylation alone. Furthermore, methylation concurrence can be used to stratify large undermethylated regions with negligible differences in average methylation into two subgroups with distinct chromatin accessibility and gene regulation patterns. Together, methylation concurrence represents a unique methylation metric important for transcription regulation and is distinct from conventional metrics, such as average methylation and methylation variation.© 2021. The Author(s)."
No,,Longitudinal EWAS,34454584,Longitudinal analysis of individual cfDNA methylome patterns in metastatic prostate cancer.,Clin Epigenetics,"Disease progression and therapeutic resistance are hallmarks of advanced stage prostate cancer (PCa), which remains a major cause of cancer-related mortality around the world. Longitudinal studies, coupled with the use of liquid biopsies, offer a potentially new and minimally invasive platform to study the dynamics of tumour progression. Our aim was to investigate the dynamics of personal DNA methylomic profiles of metastatic PCa (mPCa) patients, during disease progression and therapy administration.Forty-eight plasma samples from 9 mPCa patients were collected, longitudinally, over 13-21 months. After circulating cell-free DNA (cfDNA) isolation, DNA methylation was profiled using the Infinium MethylationEPIC BeadChip. The top 5% most variable probes across time, within each individual, were utilised to study dynamic methylation patterns during disease progression and therapeutic response. Statistical testing was carried out to identify differentially methylated genes (DMGs) in cfDNA, which were subsequently validated in two independent mPCa (cfDNA and FFPE tissue) cohorts. Individual cfDNA global methylation patterns were temporally stable throughout the disease course. However, a proportion of CpG sites presented a dynamic temporal pattern that was consistent with clinical events, including different therapies, and were prominently associated with genes linked to immune response pathways. Additionally, study of the tumour fraction of cfDNA identified > 2000 DMGs with dynamic methylation patterns.Longitudinal assessment of cfDNA methylation in mPCa patients unveiled dynamic patterns associated with disease progression and therapy administration, thus highlighting the potential of using liquid biopsies to study PCa evolution at a methylomic level.© 2021. The Author(s)."
No,,Methods,34496950,An effective processing pipeline for harmonizing DNA methylation data from Illumina's 450K and EPIC platforms for epidemiological studies.,BMC Res Notes,"Illumina BeadChip arrays are commonly used to generate DNA methylation data for large epidemiological studies. Updates in technology over time create challenges for data harmonization within and between studies, many of which obtained data from the older 450K and newer EPIC platforms. The pre-processing pipeline for DNA methylation is not trivial, and influences the downstream analyses. Incorporating different platforms adds a new level of technical variability that has not yet been taken into account by recommended pipelines. Our study evaluated the performance of various tools on different versions of platform data harmonization at each step of pre-processing pipeline, including quality control (QC), normalization, batch effect adjustment, and genomic inflation. We illustrate our novel approach using 450K and EPIC data from the Diabetes Autoimmunity Study in the Young (DAISY) prospective cohort.We found normalization and probe filtering had the biggest effect on data harmonization. Employing a meta-analysis was an effective and easily executable method for accounting for platform variability. Correcting for genomic inflation also helped with harmonization. We present guidelines for studies seeking to harmonize data from the 450K and EPIC platforms, which includes the use of technical replicates for evaluating numerous pre-processing steps, and employing a meta-analysis.© 2021. The Author(s)."
No,,mQTL,34493871,Genomic and phenotypic insights from an atlas of genetic effects on DNA methylation.,Nat Genet,"Characterizing genetic influences on DNA methylation (DNAm) provides an opportunity to understand mechanisms underpinning gene regulation and disease. In the present study, we describe results of DNAm quantitative trait locus (mQTL) analyses on 32,851 participants, identifying genetic variants associated with DNAm at 420,509 DNAm sites in blood. We present a database of >270,000 independent mQTLs, of which 8.5% comprise long-range (trans) associations. Identified mQTL associations explain 15-17% of the additive genetic variance of DNAm. We show that the genetic architecture of DNAm levels is highly polygenic. Using shared genetic control between distal DNAm sites, we constructed networks, identifying 405 discrete genomic communities enriched for genomic annotations and complex traits. Shared genetic variants are associated with both DNAm levels and complex diseases, but only in a minority of cases do these associations reflect causal relationships from DNAm to trait or vice versa, indicating a more complex genotype-phenotype map than previously anticipated.© 2021. The Author(s), under exclusive licence to Springer Nature America, Inc."
No,,Single-cell,34417589,Multi-omics integration in the age of million single-cell data.,Nat Rev Nephrol,"An explosion in single-cell technologies has revealed a previously underappreciated heterogeneity of cell types and novel cell-state associations with sex, disease, development and other processes. Starting with transcriptome analyses, single-cell techniques have extended to multi-omics approaches and now enable the simultaneous measurement of data modalities and spatial cellular context. Data are now available for millions of cells, for whole-genome measurements and for multiple modalities. Although analyses of such multimodal datasets have the potential to provide new insights into biological processes that cannot be inferred with a single mode of assay, the integration of very large, complex, multimodal data into biological models and mechanisms represents a considerable challenge. An understanding of the principles of data integration and visualization methods is required to determine what methods are best applied to a particular single-cell dataset. Each class of method has advantages and pitfalls in terms of its ability to achieve various biological goals, including cell-type classification, regulatory network modelling and biological process inference. In choosing a data integration strategy, consideration must be given to whether the multi-omics data are matched (that is, measured on the same cell) or unmatched (that is, measured on different cells) and, more importantly, the overall modelling and visualization goals of the integrated analysis.© 2021. Springer Nature Limited."
No,,Somatic mutations,34433965,A body map of somatic mutagenesis in morphologically normal human tissues.,Nature,"Somatic mutations that accumulate in normal tissues are associated with ageing and disease1,2. Here we performed a comprehensive genomic analysis of 1,737 morphologically normal tissue biopsies of 9 organs from 5 donors. We found that somatic mutation accumulations and clonal expansions were widespread, although to variable extents, in morphologically normal human tissues. Somatic copy number alterations were rarely detected, except for in tissues from the oesophagus and cardia. Endogenous mutational processes with the SBS1 and SBS5 mutational signatures are ubiquitous among normal tissues, although they exhibit different relative activities. Exogenous mutational processes operate in multiple tissues from the same donor. We reconstructed the spatial somatic clonal architecture with sub-millimetre resolution. In the oesophagus and cardia, macroscopic somatic clones that expanded to hundreds of micrometres were frequently seen, whereas in tissues such as the colon, rectum and duodenum, somatic clones were microscopic in size and evolved independently, possibly restricted by local tissue microstructures. Our study depicts a body map of somatic mutations and clonal expansions from the same individual.© 2021. The Author(s), under exclusive licence to Springer Nature Limited."
No,,Somatic mutations,34433962,The mutational landscape of human somatic and germline cells.,Nature,"Over the course of an individual's lifetime, normal human cells accumulate mutations1. Here we compare the mutational landscape in 29 cell types from the soma and germline using multiple samples from the same individuals. Two ubiquitous mutational signatures, SBS1 and SBS5/40, accounted for the majority of acquired mutations in most cell types, but their absolute and relative contributions varied substantially. SBS18, which potentially reflects oxidative damage2, and several additional signatures attributed to exogenous and endogenous exposures contributed mutations to subsets of cell types. The rate of mutation was lowest in spermatogonia, the stem cells from which sperm are generated and from which most genetic variation in the human population is thought to originate. This was due to low rates of ubiquitous mutational processes and may be partially attributable to a low rate of cell division in basal spermatogonia. These results highlight similarities and differences in the maintenance of the germline and soma.© 2021. Crown."
No,,Prediction,34400642,Circulating cell-free DNA-based methylation patterns for breast cancer diagnosis.,NPJ Breast Cancer,"Mammography is used to detect breast cancer (BC), but its sensitivity is limited, especially for dense breasts. Circulating cell-free DNA (cfDNA) methylation tests is expected to compensate for the deficiency of mammography. We derived a specific panel of markers based on computational analysis of the DNA methylation profiles from The Cancer Genome Atlas (TCGA). Through training (n = 160) and validation set (n = 69), we developed a diagnostic prediction model with 26 markers, which yielded a sensitivity of 89.37% and a specificity of 100% for differentiating malignant disease from normal lesions [AUROC = 0.9816 (95% CI: 96.09-100%), and AUPRC = 0.9704 (95% CI: 94.54-99.46%)]. A simplified 4-marker model including cg23035715, cg16304215, cg20072171, and cg21501525 had a similar diagnostic power [AUROC = 0.9796 (95% CI: 95.56-100%), and AUPRC = 0.9220 (95% CI: 91.02-94.37%)]. We found that a single cfDNA methylation marker, cg23035715, has a high diagnostic power [AUROC = 0.9395 (95% CI: 89.72-99.27%), and AUPRC = 0.9111 (95% CI: 88.45-93.76%)], with a sensitivity of 84.90% and a specificity of 93.88%. In an independent testing dataset (n = 104), the obtained diagnostic prediction model discriminated BC patients from normal controls with high accuracy [AUROC = 0.9449 (95% CI: 90.07-98.91%), and AUPRC = 0.8640 (95% CI: 82.82-89.98%)]. We compared the diagnostic power of cfDNA methylation and mammography. Our model yielded a sensitivity of 94.79% (95% CI: 78.72-97.87%) and a specificity of 98.70% (95% CI: 86.36-100%) for differentiating malignant disease from normal lesions [AUROC = 0.9815 (95% CI: 96.75-99.55%), and AUPRC = 0.9800 (95% CI: 96.6-99.4%)], with better diagnostic power and had better diagnostic power than that of using mammography [AUROC = 0.9315 (95% CI: 89.95-96.34%), and AUPRC = 0.9490 (95% CI: 91.7-98.1%)]. In addition, hypermethylation profiling provided insights into lymph node metastasis stratifications (p < 0.05). In conclusion, we developed and tested a cfDNA methylation model for BC diagnosis with better performance than mammography.© 2021. The Author(s)."
No,,,34518533,"DNA methylation landscapes of 1538 breast cancers reveal a replication-linked clock, epigenomic instability and cis-regulation.",Nat Commun,"DNA methylation is aberrant in cancer, but the dynamics, regulatory role and clinical implications of such epigenetic changes are still poorly understood. Here, reduced representation bisulfite sequencing (RRBS) profiles of 1538 breast tumors and 244 normal breast tissues from the METABRIC cohort are reported, facilitating detailed analysis of DNA methylation within a rich context of genomic, transcriptional, and clinical data. Tumor methylation from immune and stromal signatures are deconvoluted leading to the discovery of a tumor replication-linked clock with genome-wide methylation loss in non-CpG island sites. Unexpectedly, methylation in most tumor CpG islands follows two replication-independent processes of gain (MG) or loss (ML) that we term epigenomic instability. Epigenomic instability is correlated with tumor grade and stage, TP53 mutations and poorer prognosis. After controlling for these global trans-acting trends, as well as for X-linked dosage compensation effects, cis-specific methylation and expression correlations are uncovered at hundreds of promoters and over a thousand distal elements. Some of these targeted known tumor suppressors and oncogenes. In conclusion, this study demonstrates that global epigenetic instability can erode cancer methylomes and expose them to localized methylation aberrations in-cis resulting in transcriptional changes seen in tumors.© 2021. The Author(s)."
No,,EWAS,34401410,Placental DNA methylation marks are associated with maternal depressive symptoms during early pregnancy.,Neurobiol Stress,"Maternal depressive symptoms during pregnancy are a significant risk factor for adverse developmental and health outcomes of the offspring. The molecular mechanisms mediating the long-term effects of this exposure are not well understood. Previous studies have found association between prenatal exposure to maternal psychological distress and placental DNA methylation of candidate genes, which can influence placental barrier function and development of the fetus. Our objective in this study was to determine epigenome wide association of maternal depressive symptoms in early pregnancy with the placental DNA methylation. For this purpose we examined DNA methylomes of 92 placental samples by using reduced representation bisulfite sequencing. The placental samples were collected after deliveries of 39 girls and 59 boys, whose mothers had Edinburgh Postnatal Depression Score ranging from 0 to 19 at gestational week 14. According to our results maternal depressive symptoms are associated with DNA methylation of 2833 CpG sites, which are particularly over-represented in genic enhancers. The genes overlapping or nearest to these sites are functionally enriched for development of neurons and show expression enrichment in several regions of developing brain. The genomic regions harboring the DNA methylation marks are enriched for single nucleotide polymorphisms associated with mental disease trait class. Potential cellular signaling cascades mediating the effects include inflammatory and hormonal pathways. As a conclusion our results suggest that maternal depressive symptoms during early pregnancy are associated with DNA methylation marks in placenta in genes, which are important for the development and long-term health of the brain. Whether similar marks can be detected in exposed children remains to be elucidated in further studies.© 2021 The Authors."
