present,ec,type,pmid,title,source,abstract
,N,dnam age,35681159,Cardiovascular health and four epigenetic clocks.,Clin Epigenetics,"Cardiovascular health (CVH) was defined by the American Heart Association as an integrative idealness of seven clinical or lifestyle factors. Based on populations of European ancestry, recent studies have shown that ideal CVH is associated with a slower aging rate. The aging rate is measured by levels of epigenetic age acceleration (EAA), usually obtained from the residuals of regressing DNA methylation (DNAm) age on chronological age. However, little has been known about the association of CVH with biological aging in Asian populations.We here analyzed blood DNAm data and clinical/lifestyle factors of 2474 Taiwan Biobank (TWB) participants, to investigate the association of CVH with EAA. CVH was assessed by seven components: smoking status, physical activity, dietary habits, body mass index, total cholesterol, fasting glucose, and blood pressure levels. Four measures of EAA were applied, among which two were based on the first-generation DNAm clocks (HannumEAA and IEAA) and two were based on the second-generation clocks (PhenoEAA and GrimEAA). After excluding 276 individuals with cardiovascular diseases, we regressed EAA on the CVH score (ranging from 0 to 7, integrating the abovementioned seven components) while adjusting for sex, drinking status, and educational attainment. Our results showed that a decrease in one point in the CVH score was associated with a 0.350-year PhenoEAA (p = 4.5E-4) and a 0.499-year GrimEAA (p = 4.2E-15). By contrast, HannumEAA and IEAA were not significantly associated with the CVH score. We have obtained consistent results within each generation of epigenetic clocks.This is one of the first studies to comprehensively investigate the associations of CVH with four epigenetic clocks. Our TWB data showed that ideal CVH is associated with lower levels of EAA calculated according to the second-generation epigenetic clocks (PhenoEAA and GrimEAA). Having an ideal CVH status can lower EAA and reduce the risk of aging-related disorders.© 2022. The Author(s)."
x,N,dnam age,35681206,Evaluation of short-term epigenetic age fluctuation.,Clin Epigenetics,"Considerable effort has been spent on lowering and maintaining the epigenetic age. However, the extent to which epigenetic age fluctuates under normal conditions is poorly understood. Therefore, we analyzed methylation data from monocytes and peripheral blood mononuclear cells collected from two Japanese men. The ranges of the Pan-tissue, Skin and blood, and DNAm PhenoAge epigenetic age during 3 months were ≥ 5.62, ≥ 3.04, and ≥ 8.23 years, and the maximum daily changes were 5.21, 3.20, and 6.53 years, respectively. These fluctuations were not suppressed by correcting for cell-type composition. Although the underlying biological mechanism remains unclear, there was a nonnegligible degree of age fluctuation which should inform personalized clinical applications.© 2022. The Author(s)."
x,N,epigenetics,35608069,Large-scale integration of DNA methylation and gene expression array platforms identifies both <i>cis</i> and <i>trans</i> relationships.,Epigenetics,"Although epigenome-wide association studies (EWAS) have been successful in identifying DNA methylation (DNAm) patterns associated with disease states, any further characterization of etiologic mechanisms underlying disease remains elusive. This knowledge gap does not originate from a lack of DNAm-trait associations, but rather stems from study design issues that affect the interpretability of EWAS results. Despite known limitations in predicting the function of a particular CpG site, most EWAS maintain the broad assumption that altered DNAm results in a concomitant change of transcription at the most proximal gene. This study integrated DNAm and gene expression (GE) measurements in two cohorts, the Adolescent and Young Adult Twin Study (AYATS) and the Pregnancy, Race, Environment, Genes (PREG) study, to improve the understanding of epigenomic regulatory mechanisms. CpG sites associated with GE inciswere enriched in areas of transcription factor binding and areas of intermediate-to-low CpG density. CpG sites associated withtransGE were also enriched in areas of known regulatory significance, including enhancer regions. These results highlight issues with restricting DNAm-transcript annotations to small genomic intervals and question the validity of assuming acisDNAm-GE pathway. Based on these findings, the interpretation of EWAS results is limited in studies without multi-omic support and further research should identify genomic regions in which GE-associated DNAm is overrepresented. An in-depth characterization of GE-associated CpG sites could improve predictions of the downstream functional impact of altered DNAm and inform best practices for interpreting DNAm-trait associations generated by EWAS."
x,N,epigenetics,35672318,Integrating 3D genomic and epigenomic data to enhance target gene discovery and drug repurposing in transcriptome-wide association studies.,Nat Commun,"Transcriptome-wide association studies (TWAS) are popular approaches to test for association between imputed gene expression levels and traits of interest. Here, we propose an integrative method PUMICE (Prediction Using Models Informed by Chromatin conformations and Epigenomics) to integrate 3D genomic and epigenomic data with expression quantitative trait loci (eQTL) to more accurately predict gene expressions. PUMICE helps define and prioritize regions that harbor cis-regulatory variants, which outperforms competing methods. We further describe an extension to our method PUMICE +, which jointly combines TWAS results from single- and multi-tissue models. Across 79 traits, PUMICE + identifies 22% more independent novel genes and increases median chi-square statistics values at known loci by 35% compared to the second-best method, as well as achieves the narrowest credible interval size. Lastly, we perform computational drug repurposing and confirm that PUMICE + outperforms other TWAS methods.© 2022. The Author(s)."
x,N,epigenetics,35614216,Divergent transcriptional regulation of astrocyte reactivity across disorders.,Nature,"Astrocytes respond to injury and disease in the central nervous system with reactive changes that influence the outcome of the disorder1-4. These changes include differentially expressed genes (DEGs) whose contextual diversity and regulation are poorly understood. Here we combined biological and informatic analyses, including RNA sequencing, protein detection, assay for transposase-accessible chromatin with high-throughput sequencing (ATAC-seq) and conditional gene deletion, to predict transcriptional regulators that differentially control more than 12,000 DEGs that are potentially associated with astrocyte reactivity across diverse central nervous system disorders in mice and humans. DEGs associated with astrocyte reactivity exhibited pronounced heterogeneity across disorders. Transcriptional regulators also exhibited disorder-specific differences, but a core group of 61 transcriptional regulators was identified as common across multiple disorders in both species. We show experimentally that DEG diversity is determined by combinatorial, context-specific interactions between transcriptional regulators. Notably, the same reactivity transcriptional regulators can regulate markedly different DEG cohorts in different disorders; changes in the access of transcriptional regulators to DNA-binding motifs differ markedly across disorders; and DEG changes can crucially require multiple reactivity transcriptional regulators. We show that, by modulating reactivity, transcriptional regulators can substantially alter disorder outcome, implicating them as therapeutic targets. We provide searchable resources of disorder-related reactive astrocyte DEGs and their predicted transcriptional regulators. Our findings show that transcriptional changes associated with astrocyte reactivity are highly heterogeneous and are customized from vast numbers of potential DEGs through context-specific combinatorial transcriptional-regulator interactions.© 2022. The Author(s), under exclusive licence to Springer Nature Limited."
x,N,epigenetics,35710981,"Epigenomic and transcriptomic analyses define core cell types, genes and targetable mechanisms for kidney disease",Nat Genet,"More than 800 million people suffer from kidney disease, yet the mechanism of kidney dysfunction is poorly understood. In the present study, we define the genetic association with kidney function in 1.5 million individuals and identify 878 (126 new) loci. We map the genotype effect on the methylome in 443 kidneys, transcriptome in 686 samples and single-cell open chromatin in 57,229 kidney cells. Heritability analysis reveals that methylation variation explains a larger fraction of heritability than gene expression. We present a multi-stage prioritization strategy and prioritize target genes for 87% of kidney function loci. We highlight key roles of proximal tubules and metabolism in kidney function regulation. Furthermore, the causal role of SLC47A1 in kidney disease is defined in mice with genetic loss of Slc47a1 and in human individuals carrying loss-of-function variants. Our findings emphasize the key role of bulk and single-cell epigenomic information in translating genome-wide association studies into identifying causal genes, cellular origins and mechanisms of complex traits."
,N,methods,35592546,The EWAS Catalog: a database of epigenome-wide association studies.,Wellcome Open Res,"Epigenome-wide association studies (EWAS) seek to quantify associations between traits/exposures and DNA methylation measured at thousands or millions of CpG sites across the genome. In recent years, the increase in availability of DNA methylation measures in population-based cohorts and case-control studies has resulted in a dramatic expansion of the number of EWAS being performed and published. To make this rich source of results more accessible, we have manually curated a database of CpG-trait associations (with p<1x10-4) from published EWAS, each assaying over 100,000 CpGs in at least 100 individuals. From January 7, 2022, The EWAS Catalog contained 1,737,746 associations from 2,686 EWAS. This includes 1,345,398 associations from 342 peer-reviewed publications. In addition, it also contains summary statistics for 392,348 associations from 427 EWAS, performed on data from the Avon Longitudinal Study of Parents and Children (ALSPAC) and the Gene Expression Omnibus (GEO). The database is accompanied by a web-based tool and R package, giving researchers the opportunity to query EWAS associations quickly and easily, and gain insight into the molecular underpinnings of disease as well as the impact of traits and exposures on the DNA methylome. The EWAS Catalog data extraction team continue to update the database monthly and we encourage any EWAS authors to upload their summary statistics to our website. Details of how to upload data can be found here: http://www.ewascatalog.org/upload. The EWAS Catalog is available at http://www.ewascatalog.org.Copyright: © 2022 Battram T et al."
,N,prediction,35681440,Artificial Intelligence and Circulating Cell-Free DNA Methylation Profiling: Mechanism and Detection of Alzheimer's Disease.,Cells,"Despite extensive efforts, significant gaps remain in our understanding of Alzheimer's disease (AD) pathophysiology. Novel approaches using circulating cell-free DNA (cfDNA) have the potential to revolutionize our understanding of neurodegenerative disorders.We performed DNA methylation profiling of cfDNA from AD patients and compared them to cognitively normal controls. Six Artificial Intelligence (AI) platforms were utilized for the diagnosis of AD while enrichment analysis was used to elucidate the pathogenesis of AD.A total of 3684 CpGs were significantly (adj.p-value &lt; 0.05) differentially methylated in AD versus controls. All six AI algorithms achieved high predictive accuracy (AUC = 0.949-0.998) in an independent test group. As an example, Deep Learning (DL) achieved an AUC (95% CI) = 0.99 (0.95-1.0), with 94.5% sensitivity and specificity.We describe numerous epigenetically altered genes which were previously reported to be differentially expressed in the brain of AD sufferers. Genes identified by AI to be the best predictors of AD were either known to be expressed in the brain or have been previously linked to AD. We highlight enrichment in the Calcium signaling pathway, Glutamatergic synapse, Hedgehog signaling pathway, Axon guidance and Olfactory transduction in AD sufferers. To the best of our knowledge, this is the first reported genome-wide DNA methylation study using cfDNA to detect AD."
,N,telomeres,35681050,"Genetic, parental and lifestyle factors influence telomere length.",Commun Biol,"The average length of telomere repeats (TL) declines with age and is considered to be a marker of biological ageing. Here, we measured TL in six blood cell types from 1046 individuals using the clinically validated Flow-FISH method. We identified remarkable cell-type-specific variations in TL. Host genetics, environmental, parental and intrinsic factors such as sex, parental age, and smoking are associated to variations in TL. By analysing the genome-wide methylation patterns, we identified that the association of maternal, but not paternal, age to TL is mediated by epigenetics. Single-cell RNA-sequencing data for 62 participants revealed differential gene expression in T-cells. Genes negatively associated with TL were enriched for pathways related to translation and nonsense-mediated decay. Altogether, this study addresses cell-type-specific differences in telomere biology and its relation to cell-type-specific gene expression and highlights how perinatal factors play a role in determining TL, on top of genetics and lifestyle.© 2022. The Author(s)."
,Y,ewas,35703085,"DNA methylation in people with Anorexia Nervosa: Epigenome-wide patterns in actively ill, long-term remitted, and healthy-eater women.",World J Biol Psychiatry,"Objectives:Recent studies have reported altered methylation levels at disorder-relevant DNA sites in people who are ill with Anorexia Nervosa (AN) compared to findings in people with no eating disorder (ED) or in whom AN has remitted. The preceding implies state-related influences upon gene expression in people with AN. The present study further examined this notion.Methods:We measured genome-wide DNA methylation in 145 women with active AN, 49 showing stable one-year remission of AN, and 64 with no ED.Results:Comparisons revealed 205 differentially methylated sites between active and no ED groups, and 162 differentially methylated sites between active and remitted groups (Q < 0.01). Probes tended to map onto genes relevant to psychiatric, metabolic and immune functions. Notably, several of the genes identified here as being differentially methylated in people with AN (e.g.,SYNJ2, PRKAG2, STAT3,CSGALNACT1, NEGR1,NR1H3) have figured in previous studies on AN. Effects also associated illness chronicity and lower BMI with more pronounced DNA methylation alterations, and remission of AN with normalization of DNA methylation.Conclusions:Findings corroborate earlier results suggesting reversible DNA methylation alterations in AN, and point to particular genes at which epigenetic mechanisms may act to shape AN phenomenology."
