who,pmid,title,source,abstract
,38113735,DNA methylation aging signatures of multiple metals exposure and their mediation effects in metal-associated mortality: Evidence from the Dongfeng-Tongji cohort study.,J Hazard Mater,"Humans were exposed to multiple metals, but the impact of metals on DNA methylation-age (DNAm-age), a well-recognized aging measure, remains inconclusive. This study included 2942 participants from the Dongfeng-Tongji cohort. We detected their plasma concentrations of 23 metals and determined their genome-wide DNA methylation using the Illumina Human-MethylationEPIC BeadChip. Five DNAm-age acceleration indexes (DAIs), including HannumAge-Accel, HorvathAge-Accel, PhenoAge-Accel, GrimAge-Accel (residual from regressing corresponding DNAm-age on chronological age) and DNAm-mortality score (DNAm-MS), were separately calculated. We found that each 1-unit increase in ln-transformed copper (Cu) was associated with a separate 1.02-, 0.83- and 0.07-unit increase in PhenoAge-Accel, GrimAge-Accel, and DNAm-MS (all FDR<0.05). Each 1-unit increase in ln-transformed nickel (Ni) was associated with a 0.34-year increase in PhenoAge-Accel, while each 1-unit increase in ln-transformed strontium (Sr) was associated with a 0.05-unit increase in DNAm-MS. The Cu, Ni and Sr showed joint positive effects on above three DAIs. PhenoAge-Accel, GrimAge-Accel, and DNAm-MS mediated a separate 6.5%, 12.3%, 6.0% of the positive association between Cu and all-cause mortality; GrimAge-Accel mediated 14.3% of the inverse association of selenium with all-cause mortality. Our findings revealed the effects of Cu, Ni, Sr and their co-exposure on accelerated aging and highlighted mediation roles of DNAm-age on metal-associated mortality.Copyright © 2023 Elsevier B.V. All rights reserved."
*,38105971,"An epigenome-wide analysis of DNA methylation, racialized and economic inequities, and air pollution.",bioRxiv,"DNA methylation (DNAm) provides a plausible mechanism by which adverse exposures become embodied and contribute to health inequities, due to its role in genome regulation and responsiveness to social and biophysical exposures tied to societal context. However, scant epigenome-wide association studies (EWAS) have included structural and lifecourse measures of exposure, especially in relation to structural discrimination.Our study tests the hypothesis that DNAm is a mechanism by which racial discrimination, economic adversity, and air pollution become biologically embodied.A series of cross-sectional EWAS, conducted in My Body My Story (MBMS, biological specimens collected 2008-2010, DNAm assayed in 2021); and the Multi Ethnic Study of Atherosclerosis (MESA; biological specimens collected 2010-2012, DNAm assayed in 2012-2013); using new georeferenced social exposure data for both studies (generated in 2022).MBMS was recruited from four community health centers in Boston; MESA was recruited from four field sites in: Baltimore, MD; Forsyth County, NC; New York City, NY; and St. Paul, MN.Two population-based samples of US-born Black non-Hispanic (Black NH), white non-Hispanic (white NH), and Hispanic individuals (MBMS; n=224 Black NH and 69 white NH) and (MESA; n=229 Black NH, n=555 white NH and n=191 Hispanic).Eight social exposures encompassing racial discrimination, economic adversity, and air pollution.Genome-wide changes in DNAm, as measured using the Illumina EPIC BeadChip (MBMS; using frozen blood spots) and Illumina 450k BeadChip (MESA; using purified monocytes). Our hypothesis was formulated after data collection.We observed the strongest associations with traffic-related air pollution (measured via black carbon and nitrogen oxides exposure), with evidence from both studies suggesting that air pollution exposure may induce epigenetic changes related to inflammatory processes. We also found suggestive associations of DNAm variation with measures of structural racial discrimination (e.g., for Black NH participants, born in a Jim Crow state; adult exposure to racialized economic residential segregation) situated in genes with plausible links to effects on health.Overall, this work suggests that DNAm is a biological mechanism through which structural racism and air pollution become embodied and may lead to health inequities."
,38052982,Maternal educational attainment in pregnancy and epigenome-wide DNA methylation changes in the offspring from birth until adolescence.,Mol Psychiatry,"Maternal educational attainment (MEA) shapes offspring health through multiple potential pathways. Differential DNA methylation may provide a mechanistic understanding of these long-term associations. We aimed to quantify the associations of MEA with offspring DNA methylation levels at birth, in childhood and in adolescence. Using 37 studies from high-income countries, we performed meta-analysis of epigenome-wide association studies (EWAS) to quantify the associations of completed years of MEA at the time of pregnancy with offspring DNA methylation levels at birth (n = 9 881), in childhood (n = 2 017), and adolescence (n = 2 740), adjusting for relevant covariates. MEA was found to be associated with DNA methylation at 473 cytosine-phosphate-guanine sites at birth, one in childhood, and four in adolescence. We observed enrichment for findings from previous EWAS on maternal folate, vitamin-B12concentrations, maternal smoking, and pre-pregnancy BMI. The associations were directionally consistent with MEA being inversely associated with behaviours including smoking and BMI. Our findings form a bridge between socio-economic factors and biology and highlight potential pathways underlying effects of maternal education. The results broaden our understanding of bio-social associations linked to differential DNA methylation in multiple early stages of life. The data generated also offers an important resource to help a more precise understanding of the social determinants of health.© 2023. The Author(s)."
,37935791,Trans-ancestry epigenome-wide association meta-analysis of DNA methylation with lifetime cannabis use.,Mol Psychiatry,"Cannabis is widely used worldwide, yet its links to health outcomes are not fully understood. DNA methylation can serve as a mediator to link environmental exposures to health outcomes. We conducted an epigenome-wide association study (EWAS) of peripheral blood-based DNA methylation and lifetime cannabis use (ever vs. never) in a meta-analysis including 9436 participants (7795 European and 1641 African ancestry) from seven cohorts. Accounting for effects of cigarette smoking, our trans-ancestry EWAS meta-analysis revealed four CpG sites significantly associated with lifetime cannabis use at a false discovery rate of 0.05 [Formula: see text]: cg22572071 near gene ADGRF1, cg15280358 in ADAM12, cg00813162 in ACTN1, and cg01101459 near LINC01132. Additionally, our EWAS analysis in participants who never smoked cigarettes identified another epigenome-wide significant CpG site, cg14237301 annotated to APOBR. We used a leave-one-out approach to evaluate methylation scores constructed as a weighted sum of the significant CpGs. The best model can explain 3.79% of the variance in lifetime cannabis use. These findings unravel the DNA methylation changes associated with lifetime cannabis use that are independent of cigarette smoking and may serve as a starting point for further research on the mechanisms through which cannabis exposure impacts health outcomes.© 2023. The Author(s)."
,37932662,Epigenome-wide methylation and progression to high-grade cervical intraepithelial neoplasia (CIN2+): a prospective cohort study in the United States.,BMC Cancer,"Methylation levels may be associated with and serve as markers to predict risk of progression of precancerous cervical lesions. We conducted an epigenome-wide association study (EWAS) of CpG methylation and progression to high-grade cervical intraepithelial neoplasia (CIN2 +) following an abnormal screening test.A prospective US cohort of 289 colposcopy patients with normal or CIN1 enrollment histology was assessed. Baseline cervical sample DNA was analyzed using Illumina HumanMethylation 450K (n = 76) or EPIC 850K (n = 213) arrays. Participants returned at provider-recommended intervals and were followed up to 5 years via medical records. We assessed continuous CpG M values for 9 cervical cancer-associated genes and time-to-progression to CIN2+. We estimated CpG-specific time-to-event ratios (TTER) and hazard ratios using adjusted, interval-censored Weibull accelerated failure time models. We also conducted an exploratory EWAS to identify novel CpGs with false discovery rate (FDR) < 0.05.At enrollment, median age was 29.2 years; 64.0% were high-risk HPV-positive, and 54.3% were non-white. During follow-up (median 24.4 months), 15 participants progressed to CIN2+. Greater methylation levels were associated with a shorter time-to-CIN2+ for CADM1 cg03505501 (TTER = 0.28; 95%CI 0.12, 0.63; FDR = 0.03) and RARB Cluster 1 (TTER = 0.46; 95% CI 0.29, 0.71; FDR = 0.01). There was evidence of similar trends for DAPK1 cg14286732, PAX1 cg07213060, and PAX1 Cluster 1. The EWAS detected 336 novel progression-associated CpGs, including those located in CpG islands associated with genes FGF22, TOX, COL18A1, GPM6A, XAB2, TIMP2, GSPT1, NR4A2, and APBB1IP.Using prospective time-to-event data, we detected associations between CADM1-, DAPK1-, PAX1-, and RARB-related CpGs and cervical disease progression, and we identified novel progression-associated CpGs.Methylation levels at novel CpG sites may help identify individuals with ≤CIN1 histology at higher risk of progression to CIN2+ and inform risk-based cervical cancer screening guidelines.© 2023. The Author(s)."
,38133959,Arsenic Exposure and Epigenetic Aging: The Association with Cardiovascular Disease and All-Cause Mortality in the Strong Heart Study.,Environ Health Perspect,"Inorganic arsenic (As) may increase the risk of cardiovascular disease (CVD) and all-cause mortality through accelerated aging, which can be estimated using epigenetic-based measures.We evaluated three DNA methylation-based aging measures (PhenoAge, GrimAge, DunedinPACE) (epigenetic aging measures) as potential mediators of the previously reported association of As exposure with CVD incidence, CVD mortality, and all-cause mortality in the Strong Heart Study (SHS), an epidemiological cohort of American Indian adults.Blood DNA methylation and urinary As levels were measured in 2,323 SHS participants (41.5% men, mean age of 55 years old). PhenoAge and GrimAge values were calculated using a residual-based method. We tested the association of urinary As with epigenetic aging measures using linear regression, the association of epigenetic aging measures with the three health outcomes using additive hazards models, and the mediation of As-related CVD incidence, CVD mortality, and all-cause mortality by epigenetic aging measures using the product of coefficients method.SHS participants with higher vs. lower urinary As levels had similar PhenoAge age, older GrimAge age, and faster DunedinPACE. An interquartile range increase in urinary As was associated with higher of PhenoAge age acceleration [mean difference (95% confidence interval)=0.48(0.17, 0.80) years], GrimAge age acceleration [0.80 (0.60, 1.00) years], and DunedinPACE [0.011 (0.005, 0.018)], after adjusting for age, sex, center location, genetic components, smoking status, and body mass index. Of the 347 incident CVD events per 100,000 person-years associated with a doubling in As exposure, 21.3% (9.1, 57.1) and 22.6% (9.5, 56.9), were attributable to differences in GrimAge and DunedinPACE, respectively.Arsenic exposure was associated with older GrimAge and faster DunedinPACE measures of biological age. Furthermore, accelerated biological aging measured from DNA methylation accounted for a relevant fraction of As-associated risk for CVD, CVD mortality, and all-cause mortality in the SHS, supporting the role of As in accelerated aging. Research of the biological underpinnings can contribute to a better understanding of the role of aging in arsenic-related disease. https://doi.org/10.1289/EHP11981."
*,38019517,Racial and Ethnic Residential Segregation and Monocyte DNA Methylation Age Acceleration.,JAMA Netw Open,"Neighborhood segregation and poverty may be important drivers of health inequities. Epigenomic factors, including DNA methylation clocks that may mark underlying biological aging, have been implicated in the link between social factors and health.To examine the associations of neighborhood segregation and poverty with 4 DNA methylation clocks trained to capture either chronological age or physiological dysregulation.This cohort study uses data from the Multi-Ethnic Study of Atherosclerosis (MESA), a longitudinal study that started in 2000 to 2002, with follow-up in 2002 to 2004, 2004 to 2005, 2005 to 2007, and 2010 to 2012. In 2000 to 2002, adults who identified as White or Black race or Hispanic or Chinese ethnicity in 6 US sites (Baltimore, Maryland; Chicago, Illinois; Forsyth County, North Carolina; Los Angeles County, California; Northern Manhattan, New York; and St. Paul, Minnesota) were sampled for recruitment. A random subsample of 4 sites (Maryland, North Carolina, New York, and Minnesota) were selected for inclusion in the MESA epigenomics ancillary study at examination 5 (2010-2012). Participants who identified as White or Black race or Hispanic ethnicity, were aged 45 to 84 years, and did not have clinical cardiovascular disease were included in this analysis. Data were analyzed from May 2021 to October 2023.Information on 2000 census tract poverty and Getis-Ord G statistic segregation of Hispanic residents, non-Hispanic Black residents, or non-Hispanic White residents were linked to participant addresses at examination 1 (2000-2002).At examination 5, DNA methylation was measured in purified monocytes. DNA methylation age acceleration was calculated using 4 clocks trained on either chronological age or physiological dysregulation. Linear regressions were used to test associations.A total of 1102 participants (mean [SD] age, 69.7 [9.4] years; 562 [51%] women) were included, with 348 Hispanic participants, 222 non-Hispanic Black participants, and 533 non-Hispanic White participants. For non-Hispanic Black participants, living in tracts with greater segregation of Black residents was associated with GrimAge DNA methylation age acceleration, a clock designed to capture physiological dysregulation. A 1-SD increase in segregation was associated with 0.42 (95% CI, 0.20-0.64) years age acceleration (P < .001); this association was not observed with other clocks. This association was particularly pronounced for participants living in high poverty tracts (interaction term, 0.24; 95% CI, 0.07-0.42; P = .006). In the overall sample, census tract poverty level was associated with GrimAge DNA methylation age acceleration (β = 0.45; 95% CI, 0.20-0.71; adjusted P = .005).These findings suggest that epigenomic mechanisms may play a role in the associations of segregated and poor neighborhoods with chronic conditions."
,37968697,Circulating metabolites may illustrate relationship of alcohol consumption with cardiovascular disease.,BMC Med,"Metabolite signatures of long-term alcohol consumption are lacking. To better understand the molecular basis linking alcohol drinking and cardiovascular disease (CVD), we investigated circulating metabolites associated with long-term alcohol consumption and examined whether these metabolites were associated with incident CVD.Cumulative average alcohol consumption (g/day) was derived from the total consumption of beer, wine, and liquor on average of 19 years in 2428 Framingham Heart Study Offspring participants (mean age 56 years, 52% women). We used linear mixed models to investigate the associations of alcohol consumption with 211 log-transformed plasma metabolites, adjusting for age, sex, batch, smoking, diet, physical activity, BMI, and familial relationship. Cox models were used to test the association of alcohol-related metabolite scores with fatal and nonfatal incident CVD (myocardial infarction, coronary heart disease, stroke, and heart failure).We identified 60 metabolites associated with cumulative average alcohol consumption (p < 0.05/211 ≈ 0.00024). For example, 1 g/day increase of alcohol consumption was associated with higher levels of cholesteryl esters (e.g., CE 16:1, beta = 0.023 ± 0.002, p = 6.3e - 45) and phosphatidylcholine (e.g., PC 32:1, beta = 0.021 ± 0.002, p = 3.1e - 38). Survival analysis identified that 10 alcohol-associated metabolites were also associated with a differential CVD risk after adjusting for age, sex, and batch. Further, we built two alcohol consumption weighted metabolite scores using these 10 metabolites and showed that, with adjustment age, sex, batch, and common CVD risk factors, the two scores had comparable but opposite associations with incident CVD, hazard ratio 1.11 (95% CI = [1.02, 1.21], p = 0.02) vs 0.88 (95% CI = [0.78, 0.98], p = 0.02).We identified 60 long-term alcohol consumption-associated metabolites. The association analysis with incident CVD suggests a complex metabolic basis between alcohol consumption and CVD.© 2023. The Author(s)."
,37950287,DNA methylation sites in early adulthood characterised by pubertal timing and development: a twin study.,Clin Epigenetics,"Puberty is a highly heritable and variable trait, with environmental factors having a role in its eventual timing and development. Early and late pubertal onset are both associated with various diseases developing later in life, and epigenetic characterisation of pubertal timing and development could lead to important insights. Blood DNA methylation, reacting to both genotype and environment, has been associated with puberty; however, such studies are relatively scarce. We investigated peripheral blood DNA methylation profiles (using Illumina 450 K and EPIC platforms) of 1539 young adult Finnish twins associated with pubertal development scale (PDS) at ages 12 and 14 as well as pubertal age (PA).Fixed effect meta-analysis of the two platforms on 347,521 CpGs in common identified 58 CpG sites associated (p < 1 × 10-5) with either PDS or PA. All four CpGs associated with PA and 45 CpGs associated with PDS were sex-specific. Thirteen CpGs had a high heritability (h2: 0.51-0.98), while one CpG site (mapped to GET4) had a high shared environmental component accounting for 68% of the overall variance in methylation at the site. Utilising twin discordance analysis, we found 6 CpG sites (5 associated with PDS and 1 with PA) that had an environmentally driven association with puberty. Furthermore, genes with PDS- or PA-associated CpGs were consistently linked to various developmental processes and diseases such as breast, prostate and ovarian cancer, while methylation quantitative trait loci of associated CpG sites were enriched in immune pathways developing during puberty.By identifying puberty-associated DNA methylation sites and examining the effects of sex, environment and genetics, we shed light on the intricate interplay between environment and genetics in the context of puberty. Through our comprehensive analysis, we not only deepen the understanding of the significance of both genetic and environmental factors in the complex processes of puberty and its timing, but also gain insights into potential links with disease risks.© 2023. The Author(s)."
,38041176,DNA methylation profiles reveal sex-specific associations between gestational exposure to ambient air pollution and placenta cell-type composition in the PRISM cohort study.,Clin Epigenetics,"Gestational exposure to ambient air pollution has been associated with adverse health outcomes for mothers and newborns. The placenta is a central regulator of the in utero environment that orchestrates development and postnatal life via fetal programming. Ambient air pollution contaminants can reach the placenta and have been shown to alter bulk placental tissue DNA methylation patterns. Yet the effect of air pollution on placental cell-type composition has not been examined. We aimed to investigate whether the exposure to ambient air pollution during gestation is associated with placental cell types inferred from DNA methylation profiles.We leveraged data from 226 mother-infant pairs in the Programming of Intergenerational Stress Mechanisms (PRISM) longitudinal cohort in the Northeastern US. Daily concentrations of fine particulate matter (PM2.5) at 1 km spatial resolution were estimated from a spatiotemporal model developed with satellite data and linked to womens' addresses during pregnancy and infants' date of birth. The proportions of six cell types [syncytiotrophoblasts, trophoblasts, stromal, endothelial, Hofbauer and nucleated red blood cells (nRBCs)] were derived from placental tissue 450K DNA methylation array. We applied compositional regression to examine overall changes in placenta cell-type composition related to PM2.5average by pregnancy trimester. We also investigated the association between PM2.5and individual cell types using beta regression. All analyses were performed in the overall sample and stratified by infant sex adjusted for covariates.In male infants, first trimester (T1) PM2.5was associated with changes in placental cell composition (p = 0.03), driven by a decrease [per one PM2.5interquartile range (IQR)] of 0.037 in the syncytiotrophoblasts proportion (95% confidence interval (CI) [- 0.066, - 0.012]), accompanied by an increase in trophoblasts of 0.033 (95% CI: [0.009, 0.064]). In females, second and third trimester PM2.5were associated with overall changes in placental cell-type composition (T2: p = 0.040; T3: p = 0.049), with a decrease in the nRBC proportion. Individual cell-type analysis with beta regression showed similar results with an additional association found for third trimester PM2.5and stromal cells in females (decrease of 0.054, p = 0.024).Gestational exposure to air pollution was associated with placenta cell composition. Further research is needed to corroborate these findings and evaluate their role in PM2.5-related impact in the placenta and consequent fetal programming.© 2023. The Author(s)."
