pmid,title,source,abstract,probs
38746367,regionalpcs : improved discovery of DNA methylation associations with complex traits.,bioRxiv,"We have developed the regional principal components (rPCs) method, a novel approach for summarizing gene-level methylation. rPCs address the challenge of deciphering complex epigenetic mechanisms in diseases like Alzheimer's disease (AD). In contrast to traditional averaging, rPCs leverage principal components analysis to capture complex methylation patterns across gene regions. Our method demonstrated a 54% improvement in sensitivity over averaging in simulations, offering a robust framework for identifying subtle epigenetic variations. Applying rPCs to the AD brain methylation data in ROSMAP, combined with cell type deconvolution, we uncovered 838 differentially methylated genes associated with neuritic plaque burden-significantly outperforming conventional methods. Integrating methylation quantitative trait loci (meQTL) with genome-wide association studies (GWAS) identified 17 genes with potential causal roles in AD, includingMS4A4AandPI-CALM. Our approach is available in the Bioconductor packageregionalpcs, opening avenues for research and facilitating a deeper understanding of the epigenetic landscape in complex diseases.",3.586713403579339e-06
38741204,Early detection and prognosis evaluation for hepatocellular carcinoma by circulating tumour DNA methylation: A multicentre cohort study.,Clin Transl Med,"Early diagnosis of hepatocellular carcinoma (HCC) can significantly improve patient survival. We aimed to develop a blood-based assay to aid in the diagnosis, detection and prognostic evaluation of HCC.A three-phase multicentre study was conducted to screen, optimise and validate HCC-specific differentially methylated regions (DMRs) using next-generation sequencing and quantitative methylation-specific PCR (qMSP).Genome-wide methylation profiling was conducted to identify DMRs distinguishing HCC tumours from peritumoural tissues and healthy plasmas. The twenty most effective DMRs were verified and incorporated into a multilocus qMSP assay (HepaAiQ). The HepaAiQ model was trained to separate 293 HCC patients (Barcelona Clinic Liver Cancer (BCLC) stage 0/A, 224) from 266 controls including chronic hepatitis B (CHB) or liver cirrhosis (LC) (CHB/LC, 96), benign hepatic lesions (BHL, 23), and healthy controls (HC, 147). The model achieved an area under the curve (AUC) of 0.944 with a sensitivity of 86.0% in HCC and a specificity of 92.1% in controls. Blind validation of the HepaAiQ model in a cohort of 523 participants resulted in an AUC of 0.940 with a sensitivity of 84.4% in 205 HCC cases (BCLC stage 0/A, 167) and a specificity of 90.3% in 318 controls (CHB/LC, 100; BHL, 102; HC, 116). When evaluated in an independent test set, the HepaAiQ model exhibited a sensitivity of 70.8% in 65 HCC patients at BCLC stage 0/A and a specificity of 89.5% in 124 patients with CHB/LC. Moreover, HepaAiQ model was assessed in paired pre- and postoperative plasma samples from 103 HCC patients and correlated with 2-year patient outcomes. Patients with high postoperative HepaAiQ score showed a higher recurrence risk (Hazard ratio, 3.33, p < .001).HepaAiQ, a noninvasive qMSP assay, was developed to accurately measure HCC-specific DMRs and shows great potential for the diagnosis, detection and prognosis of HCC, benefiting at-risk populations.© 2024 The Author(s). Clinical and Translational Medicine published by John Wiley & Sons Australia, Ltd on behalf of Shanghai Institute of Clinical Bioinformatics.",2.9784592782809877e-19
38741114,DNA methylation signatures of youth-onset type 2 diabetes and exposure to maternal diabetes.,Clin Epigenetics,"Youth-onset type 2 diabetes (T2D) is physiologically distinct from adult-onset, but it is not clear how the two diseases differ at a molecular level. In utero exposure to maternal type 2 diabetes (T2D) is known to be a specific risk factor for youth-onset T2D. DNA methylation (DNAm) changes associated with T2D but which differ between youth- and adult-onset might delineate the impacts of T2D development at different ages and could also determine the contribution of exposure to in utero diabetes.We performed an epigenome-wide analysis of DNAm on whole blood from 218 youth with T2D and 77 normoglycemic controls from the iCARE (improving renal Complications in Adolescents with type 2 diabetes through REsearch) cohort. Associations were tested using multiple linear regression models while adjusting for maternal diabetes, sex, age, BMI, smoking status, second-hand smoking exposure, cell-type proportions and genetic ancestry.We identified 3830 differentially methylated sites associated with youth T2D onset, of which 3794 were moderately (adjusted p-value < 0.05 and effect size estimate > 0.01) associated and 36 were strongly (adjusted p-value < 0.05 and effect size estimate > 0.05) associated. A total of 3725 of these sites were not previously reported in the EWAS Atlas as associated with T2D, adult obesity or youth obesity. Moreover, three CpGs associated with youth-onset T2D in the PFKFB3 gene were also associated with maternal T2D exposure (FDR < 0.05 and effect size > 0.01). This is the first study to link PFKFB3 and T2D in youth.Our findings support that T2D in youth has different impacts on DNAm than adult-onset, and suggests that changes in DNAm could provide an important link between in utero exposure to maternal diabetes and the onset of T2D.© 2024. The Author(s).",0.9999999987409813
38737319,"Genome-wide identification and expression analysis of TIFY genes under MeJA, cold and PEG-induced drought stress treatment in Dendrobium huoshanense.",Physiol Mol Biol Plants,"TheTIFYfamily consists of plant-specific genes that regulates multiple plant functions, including developmental and defense responses. Here, we performed a comprehensive genomic analysis ofTIFYgenes inDendrobium huoshanense. Our analysis encompassed their phylogenetic relationships, gene structures, chromosomal distributions, promoter regions, and patterns of collinearity. A total of 16DhTIFYgenes were identified, and classified into distinct clusters named JAZ, PPD, ZIM, and TIFY based on their phylogenetic relationship. TheseDhTIFYs exhibited an uneven distribution across 7 chromosomes. The expansion of theDhTIFYgene family appears to have been significantly influenced by whole-genome and segmental duplication events. The ratio of non-synonymous to synonymous substitutions (Ka/Ks) implies that the purifying selection has been predominant, maintaining a constrained functional diversification after duplication events. Gene structure analysis indicated thatDhTIFYs exhibited significant structural variation, particularly in terms of gene organization and intron numbers. Moreover, numerouscis-acting elements related to hormone signaling, developmental processes, and stress responses were identified within the promoter regions. Subsequently, qRT-PCR experiments demonstrated that the expression ofDhTIFYsis modulated in response to MeJA (Methyl jasmonate), cold, and drought treatment. Collectively, these results enhance our understanding of the functional dynamics ofTIFYgenes inD. huoshanenseand may pinpoint potential candidates for detailed examination of the biological roles ofTIFYgenes.The online version contains supplementary material available at 10.1007/s12298-024-01442-9.© Prof. H.S. Srivastava Foundation for Science and Society 2024. Springer Nature or its licensor (e.g. a society or other partner) holds exclusive rights to this article under a publishing agreement with the author(s) or other rightsholder(s); author self-archiving of the accepted manuscript version of this article is solely governed by the terms of such publishing agreement and applicable law.",1.0778916335654388e-49
38730337,"Hyper-physiologic mechanical cues, as an osteoarthritis disease-relevant environmental perturbation, cause a critical shift in set points of methylation at transcriptionally active CpG sites in neo-cartilage organoids.",Clin Epigenetics,"Osteoarthritis (OA) is a complex, age-related multifactorial degenerative disease of diarthrodial joints marked by impaired mobility, joint stiffness, pain, and a significant decrease in quality of life. Among other risk factors, such as genetics and age, hyper-physiological mechanical cues are known to play a critical role in the onset and progression of the disease (Guilak in Best Pract Res Clin Rheumatol 25:815-823, 2011). It has been shown that post-mitotic cells, such as articular chondrocytes, heavily rely on methylation at CpG sites to adapt to environmental cues and maintain phenotypic plasticity. However, these long-lasting adaptations may eventually have a negative impact on cellular performance. We hypothesize that hyper-physiologic mechanical loading leads to the accumulation of altered epigenetic markers in articular chondrocytes, resulting in a loss of the tightly regulated balance of gene expression that leads to a dysregulated state characteristic of the OA disease state.We showed that hyper-physiological loading evokes consistent changes in CpGs associated with expression changes (ML-tCpGs) in ITGA5, CAV1, and CD44, among other genes, which together act in pathways such as anatomical structure morphogenesis (GO:0009653) and response to wound healing (GO:0042060). Moreover, by comparing the ML-tCpGs and their associated pathways to tCpGs in OA pathophysiology (OA-tCpGs), we observed a modest but particular interconnected overlap with notable genes such as CD44 and ITGA5. These genes could indeed represent lasting detrimental changes to the phenotypic state of chondrocytes due to mechanical perturbations that occurred earlier in life. The latter is further suggested by the association between methylation levels of ML-tCpGs mapped to CD44 and OA severity.Our findings confirm that hyper-physiological mechanical cues evoke changes to the methylome-wide landscape of chondrocytes, concomitant with detrimental changes in positional gene expression levels (ML-tCpGs). Since CAV1, ITGA5, and CD44 are subject to such changes and are central and overlapping with OA-tCpGs of primary chondrocytes, we propose that accumulation of hyper-physiological mechanical cues can evoke long-lasting, detrimental changes in set points of gene expression that influence the phenotypic healthy state of chondrocytes. Future studies are necessary to confirm this hypothesis.© 2024. The Author(s).",1.8515306387201737e-56
38723642,Placental DNA methylation signatures of prenatal air pollution exposure and potential effects on birth outcomes: an analysis of three prospective cohorts.,Lancet Planet Health,"Pregnancy air pollution exposure (PAPE) has been linked to a wide range of adverse birth and childhood outcomes, but there is a paucity of data on its influence on the placental epigenome, which can regulate the programming of physiological functions and affect child development. This study aimed to investigate the association between prenatal air pollutant exposure concentrations and changes in placental DNA methylation patterns, and to explore the potential windows of susceptibility and sex-specific alterations.This multi-site study used three prospective population-based mother-child cohorts: EDEN, PELAGIE, and SEPAGES, originating from four French geographical regions (Nancy, Poitiers, Brittany, and Grenoble). Pregnant women were included between 2003 and 2006 for EDEN and PELAGIE, and between 2014 and 2017 for SEPAGES. The main eligibility criteria were: being older than 18 years, having a singleton pregnancy, and living and planning to deliver in one of the maternity clinics in one of the study areas. A total of 1539 mother-child pairs were analysed, measuring placental DNA methylation using Illumina BeadChips. We used validated spatiotemporally resolved models to estimate PM2·5, PM10, and NO2exposure over each trimester of pregnancy at the maternal residential address. We conducted a pooled adjusted epigenome-wide association study to identify differentially methylated 5'-C-phosphate-G-3' (CpG) sites and regions (assessed using the Infinium HumanMethylationEPIC BeadChip array, n=871), including sex-specific and sex-linked alterations, and independently validated our results (assessed using the Infinium HumanMethylation450 BeadChip array, n=668).We identified four CpGs and 28 regions associated with PAPE in the total population, 469 CpGs and 87 regions in male infants, and 150 CpGs and 66 regions in female infants. We validated 35% of the CpGs available. More than 30% of the identified CpGs were related to one (or more) birth outcome and most significant alterations were enriched for neural development, immunity, and metabolism related genes. The 28 regions identified for both sexes overlapped with imprinted genes (four genes), and were associated with neurodevelopment (nine genes), immune system (seven genes), and metabolism (five genes). Most associations were observed for the third trimester for female infants (134 of 150 CpGs), and throughout pregnancy (281 of 469 CpGs) and the first trimester (237 of 469 CpGs) for male infants.These findings highlight the molecular pathways through which PAPE might affect child health in a widespread and sex-specific manner, identifying the genes involved in the major physiological functions of a developing child. Further studies are needed to elucidate whether these epigenetic changes persist and affect health later in life.French Agency for National Research, Fondation pour la Recherche Médicale, Fondation de France, and the Plan Cancer.Copyright © 2024 The Author(s). Published by Elsevier Ltd. This is an Open Access article under the CC BY-NC license. Published by Elsevier Ltd.. All rights reserved.",1.0
38723422,Age- and sex- divergent translatomic responses of the mouse retinal pigmented epithelium.,Neurobiol Aging,"Aging is the main risk factor for age-related macular degeneration (AMD), a retinal neurodegenerative disease that leads to irreversible blindness, particularly in people over 60 years old. Retinal pigmented epithelium (RPE) atrophy is an AMD hallmark. Genome-wide chromatin accessibility, DNA methylation, and gene expression studies of AMD and control RPE demonstrate epigenomic/transcriptomic changes occur during AMD onset and progression. However, mechanisms by which molecular alterations of normal aging impair RPE function and contribute to AMD pathogenesis are unclear. Here, we specifically interrogate the RPE translatome with advanced age and across sexes in a novel RPE reporter mouse model. We find differential age- and sex- associated transcript expression with overrepresentation of pathways related to inflammation in the RPE. Concordant with impaired RPE function, the phenotypic changes in the aged translatome suggest that aged RPE becomes immunologically active, in both males and females, with some sex-specific signatures, which supports the need for sex representation for in vivo studies.Copyright © 2024 The Authors. Published by Elsevier Inc. All rights reserved.",5.51082405875463e-27
38722176,Comparison of CcrM-dependent methylation in Caulobacter crescentus and Brucella abortus by nanopore sequencing.,J Bacteriol,"Bacteria rely on DNA methylation for restriction-modification systems and epigenetic control of gene expression. Here, we use direct detection of methylated bases by nanopore sequencing to monitor global DNA methylation in Alphaproteobacteria, where use of this technique has not yet been reported. One representative of this order,Caulobacter crescentus, relies on DNA methylation to control cell cycle progression, but it is unclear whether other members of this order, such asBrucella abortus, depend on the same systems. We addressed these questions by first measuring CcrM-dependent DNA methylation inCaulobacterand showing excellent correlation between nanopore-based detection and previously published results. We then directly measure the impact of Lon-mediated CcrM degradation on the epigenome, verifying that loss of Lon results in pervasive methylation. We also show that the AlkB demethylase has no global impact on DNA methylation during normal growth. Next, we report on the global DNA methylation inB. abortusfor the first time and find that CcrM-dependent methylation is reliant on Lon but impacts the two chromosomes differently. Finally, we explore the impact of the MucR transcription factor, known to compete with CcrM methylation, on theBrucellamethylome and share the results with a publicly available visualization package. Our work demonstrates the utility of nanopore-based sequencing for epigenome measurements in Alphaproteobacteria and reveals new features of CcrM-dependent methylation in a zoonotic pathogen.IMPORTANCEDNA methylation plays an important role in bacteria, maintaining genome integrity and regulating gene expression. We used nanopore sequencing to directly measure methylated bases inCaulobacter crescentusandBrucella abortus. InCaulobacter, we showed that stabilization of the CcrM methyltransferase upon loss of the Lon protease results in prolific methylation and discovered that the putative methylase AlkB is unlikely to have a global physiological effect. We measured genome-wide methylation inBrucellafor the first time, revealing a similar role for CcrM in cell-cycle methylation but a more complex regulation by the Lon protease than in Caulobacter. Finally, we show how the virulence factor MucR impacts DNA methylation patterns inBrucella.",4.777655216189924e-25
38721773,Neuroimaging and epigenetic analysis reveal novel epigenetic loci in major depressive disorder.,Psychol Med,"Epigenetic modifications, such as DNA methylation, contribute to the pathophysiology of major depressive disorder (MDD). This study aimed to identify novel MDD-associated epigenetic loci using DNA methylation profiles and explore the correlations between epigenetic loci and cortical thickness changes in patients with MDD.A total of 350 patients with MDD and 161 healthy controls (HCs) were included in the epigenome-wide association studies (EWAS). We analyzed methylation, copy number alteration (CNA), and gene network profiles in the MDD group. A total of 234 patients with MDD and 135 HCs were included in neuroimaging methylation analysis. Pearson's partial correlation analysis was used to estimate the correlation between cortical thickness of brain regions and DNA methylation levels of the loci.In total, 2018 differentially methylated probes (DMPs) and 351 differentially methylated regions (DMRs) were identified. DMP-related genes were enriched in two networks involved in the central nervous system. In neuroimaging analysis, patients with MDD showed cortical thinning in the prefrontal regions and cortical thickening in several occipital regions. Cortical thickness of the left ventrolateral prefrontal cortex (VLPFC, i.e. pars triangularis) was negatively correlated with eight DMPs associated with six genes (EML6,ZFP64,CLSTN3,KCNMA1,TAOK2, andNT5E).Through combining DNA methylation and neuroimaging analyses, negative correlations were identified between the cortical thickness of the left VLPFC and DNA methylation levels of eight DMPs. Our findings could improve our understanding of the pathophysiology of MDD.",0.5095055285180291
38716347,Malignant glioma in L-2-Hydroxyglutaric Aciduria: thorough molecular characterization of a case and literature review.,Free Neuropathol,"L-2-hydroxyglutaric aciduria (L-2-HGA) is a rare neurometabolic disorder characterized by accumulation of L2-hydroxyglutarate (L-2-HG) due to mutations in theL2HGDHgene. L-2-HGA patients have a significantly increased lifetime risk of central nervous system (CNS) tumors. Here, we present a 16-year-old girl with L-2-HGA who developed a tumor in the right cerebral hemisphere, which was discovered after left-sided neurological deficits of the patient. Histologically, the tumor had a high-grade diffuse glioma phenotype. DNA sequencing revealed the inactivating homozygous germlineL2HGDHmutation as well as inactivating mutations inTP53,BCORandNF1. Genome-wide DNA-methylation analysis was unable to classify the tumor with high confidence. More detailed analysis revealed that this tumor clustered amongst IDH-wildtype gliomas by methylation profiling and did not show the glioma CpG island methylator phenotype (G-CIMP) in contrast to IDH-mutant diffuse gliomas with accumulated levels of D-2-HG, the stereoisomer of L-2-HD. These findings were against all our expectations given the inhibitory potential of 2-HG on DNA-demethylation enzymes. Our final integrated histomolecular diagnosis of the tumor was diffuse pediatric-type high-grade glioma, H3-wildtype and IDH-wildtype. Due to rapid tumor progression the patient died nine months after initial diagnosis. In this manuscript, we provide extensive molecular characterization of the tumor as well as a literature review focusing on oncogenetic considerations of L-2-HGA-associated CNS tumors.",1.0004019010326694e-40
